time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1725843600,1.85,1.92,1.85,1.88,421963200,8400000000,2836123000,2135860999.9999998,-8831000,2419897000,700262000,NaN
1725930000,1.89,1.91,1.85,1.89,70048600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1726016400,1.89,1.91,1.87,1.9,45296600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1726102800,1.91,1.92,1.87,1.89,25397100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1726189200,1.89,1.89,1.87,1.88,14325300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1726534800,1.88,1.89,1.86,1.89,16948300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1726621200,1.89,1.92,1.88,1.9,29540700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1726707600,1.9,1.97,1.89,1.96,53202300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1726794000,1.96,1.98,1.94,1.96,24810100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1727053200,1.97,2.02,1.95,1.99,35580900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1727139600,2,2.21,1.99,2.16,64670900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1727226000,2.17,2.3,2.17,2.19,50014700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1727312400,2.2,2.23,2.17,2.19,19663600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1727398800,2.19,2.19,2.12,2.16,19662300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1727658000,2.17,2.26,2.16,2.23,26907900,8400000000,3552579000,2097608000.0000002,-102655000,2550210000,1454971000,NaN
1727744400,2.24,2.32,2.2,2.25,50508300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1727830800,2.22,2.27,2.21,2.27,9892900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1727917200,2.27,2.3,2.23,2.28,15528100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1728003600,2.28,2.3,2.27,2.29,18721500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1728262800,2.29,2.37,2.29,2.33,24291000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1728349200,2.33,2.47,2.32,2.46,33601400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1728435600,2.48,2.54,2.45,2.49,36347300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1728522000,2.5,2.5,2.44,2.45,9723700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1728608400,2.45,2.47,2.38,2.4,20991000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1728867600,2.41,2.48,2.41,2.46,25053100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1728954000,2.47,2.51,2.45,2.46,16237300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1729040400,2.46,2.48,2.44,2.47,6771600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1729126800,2.48,2.5,2.32,2.4,29464200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1729213200,2.4,2.42,2.32,2.37,29625800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1729472400,2.38,2.42,2.35,2.35,20817100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1729558800,2.34,2.45,2.32,2.44,25275000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1729645200,2.45,2.5,2.43,2.47,22345800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1729731600,2.47,2.48,2.43,2.43,5696000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1729818000,2.43,2.45,2.42,2.44,3588900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
