time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478653200,2.83,2.85,2.81,2.85,722400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,2.83,2.85,2.83,2.85,156100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,2.82,2.85,2.82,2.84,228100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,2.82,2.82,2.75,2.8,156200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,2.78,2.8,2.78,2.8,3389700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,2.8,2.81,2.78,2.79,342900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,2.79,2.81,2.78,2.81,35800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,2.79,2.8,2.77,2.77,12700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,2.77,2.78,2.75,2.75,5200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,2.75,2.8,2.73,2.8,98200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,2.79,2.8,2.77,2.79,2152400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,2.8,2.8,2.74,2.74,3900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,2.75,2.75,2.65,2.65,109900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,2.65,2.65,2.56,2.58,94600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.62,2.62,2.58,2.62,17600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.6,2.7,2.56,2.7,104700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.65,2.69,2.61,2.63,24300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.63,2.63,2.6,2.63,108000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.57,2.63,2.57,2.59,29900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,2.59,2.59,2.58,2.59,4500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,2.59,2.59,2.58,2.59,11700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,2.6,2.6,2.57,2.58,28500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,2.6,2.69,2.54,2.55,97700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,2.56,2.6,2.56,2.6,18000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,2.59,2.63,2.56,2.56,37200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,2.57,2.64,2.57,2.64,9300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,2.64,2.64,2.59,2.61,26100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,2.59,2.6,2.59,2.6,3000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,2.58,2.59,2.56,2.58,53000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,2.58,2.6,2.57,2.58,45100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,2.6,2.6,2.56,2.56,54200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,2.56,2.57,2.55,2.56,397900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
