time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,4.819995,4.819995,4.739995,4.766662,199500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.686662,4.719995,4.679995,4.693329,415200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.693329,4.693329,4.666662,4.679995,500400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.686662,4.686662,4.633329,4.633329,138000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.606662,4.666662,4.599995,4.626662,477600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.653329,4.653329,4.613329,4.653329,42900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.653329,4.653329,4.613329,4.619995,70500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.606662,4.646662,4.553329,4.566662,162600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.639995,4.646662,4.546662,4.553329,306600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.586662,4.586662,4.553329,4.553329,19500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.553329,4.553329,4.419996,4.419996,215100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.419996,4.453329,4.413329,4.446662,1118700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.433329,4.466662,4.426662,4.439996,211500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.486662,4.499996,4.439996,4.499996,1739400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.499996,4.579995,4.499996,4.566662,40500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.599995,4.599995,4.566662,4.566662,49200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.566662,4.573329,4.553329,4.573329,583800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.573329,4.573329,4.566662,4.573329,9600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.619995,4.786662,4.606662,4.773329,661200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.699995,4.779995,4.699995,4.779995,128700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,4.786662,4.793329,4.759995,4.773329,174300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.773329,4.779995,4.719995,4.779995,47700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.773329,4.786662,4.739995,4.786662,19800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.773329,4.773329,4.759995,4.766662,237000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.766662,4.773329,4.739995,4.766662,160500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,4.766662,4.773329,4.753329,4.766662,154800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,4.759995,4.766662,4.753329,4.759995,364800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.759995,4.759995,4.679995,4.746662,625500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,4.759995,4.853328,4.753329,4.786662,834600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,4.786662,4.793329,4.786662,4.793329,45000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
