time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,10.02,10.02,10,10,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,9.99,10.02,9.98,9.99,8300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,9.99,9.99,9.98,9.98,25000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,9.99,9.99,9.97,9.97,19400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,9.97,9.97,9.97,9.97,15000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,9.96,9.97,9.96,9.96,677300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,9.96,9.96,9.9,9.9,67200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,9.95,9.95,9.86,9.86,2400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,9.9,9.9,9.8,9.8,11900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,9.74,9.82,9.74,9.8,85000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,9.8,9.8,9.78,9.8,241000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,9.79,9.8,9.770001,9.79,500100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,9.79,9.79,9.79,9.79,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,9.79,9.79,9.71,9.72,319600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,9.72,9.72,9.7,9.72,19500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,9.74,9.74,9.68,9.68,45500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,9.68,9.68,9.61,9.61,27900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,9.61,9.61,9.58,9.6,150700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,9.62,9.62,9.62,9.62,82000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,9.62,9.75,9.62,9.63,383000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,9.64,9.9,9.64,9.9,205200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,9.9,10.06,9.9,10.04,41700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,10.04,10.1,10.02,10.1,139500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,10.14,10.16,10.12,10.14,316600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,10.18,10.2,10.16,10.2,169100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
