time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,3.96,3.96,3.9,3.9,3165200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,3.9,4,3.9,3.97,3378700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,3.97,4,3.93,3.96,2801400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,3.96,4.06,3.95,4.06,2258500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.07,4.11,3.99,4.11,2427200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.09,4.12,4.06,4.1,1002700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.1,4.13,4.07,4.11,2193400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.11,4.14,4.08,4.14,1508700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.15,4.19,4.12,4.18,2087000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.18,4.19,4.12,4.19,1278700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.18,4.19,4.16,4.18,2129400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.16,4.22,4.15,4.17,1987700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.2,4.22,4.08,4.18,8302000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.22,4.27,4.19,4.27,1437000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.26,4.3,4.25,4.29,1359500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.28,4.29,4.25,4.29,902200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.18,4.23,4.16,4.23,658000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.24,4.26,4.18,4.18,1142300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.24,4.45,4.23,4.45,4197400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.31,4.41,4.31,4.4,1931900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,4.44,4.45,4.4,4.45,3736500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.44,4.45,4.39,4.45,3177900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.4,4.45,4.38,4.43,2895900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.44,4.44,4.41,4.44,3383700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.4,4.44,4.4,4.4,752600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,4.38,4.42,4.36,4.4,1070700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,4.41,4.42,4.36,4.36,865600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.34,4.36,4.28,4.28,1073700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,4.26,4.31,4.25,4.26,1108900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,4.36,4.36,4.26,4.28,145800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,4.26,4.36,4.26,4.32,618300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,4.31,4.32,4.24,4.25,1688000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,4.25,4.31,4.25,4.31,1447300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,4.28,4.28,4.25,4.27,665200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,4.3,4.31,4.26,4.31,2661700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.3,4.33,4.27,4.32,1719500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.33,4.36,4.31,4.36,3731100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.37,4.46,4.36,4.41,5381200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.44,4.45,4.41,4.45,5899200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.45,4.47,4.44,4.47,3777100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,4.47,4.5,4.47,4.49,9612200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,4.5,4.5,4.47,4.49,1864600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,4.49,4.5,4.43,4.44,1049600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,4.46,4.47,4.4,4.46,1332000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.46,4.47,4.44,4.47,1160100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.48,4.48,4.4,4.45,1149100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,4.5,4.5,4.43,4.43,2139500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,4.43,4.48,4.43,4.46,1371800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,4.47,4.48,4.44,4.48,2743800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4.49,4.52,4.47,4.52,4917600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,4.52,4.62,4.52,4.62,3672900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,4.63,4.64,4.6,4.62,5478800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,4.64,4.67,4.58,4.58,5075700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,4.61,4.62,4.5,4.52,5582300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,4.55,4.56,4.49,4.53,2773200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,4.51,4.56,4.51,4.54,4227200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
