time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479690000,0.62,0.625,0.615,0.615,5371500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.625,0.635,0.62,0.63,15764300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.615,0.615,0.59,0.6,26636400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.6,0.6,0.55,0.555,47821900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.56,0.57,0.55,0.55,29028800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.55,0.55,0.505,0.51,30071700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.515,0.52,0.505,0.52,14295400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.52,0.52,0.5,0.51,18073500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.525,0.55,0.525,0.545,34897900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.56,0.565,0.555,0.555,19572000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.555,0.575,0.555,0.565,14104500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.565,0.57,0.56,0.56,8329400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.56,0.565,0.55,0.56,4613900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.555,0.57,0.555,0.57,4646700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.57,0.59,0.57,0.585,9226100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.6,0.61,0.6,0.605,16303500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.605,0.615,0.6,0.61,14105200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.6,0.605,0.595,0.6,12071900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.6,0.605,0.595,0.605,2806400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.605,0.63,0.6,0.62,10507400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.62,0.62,0.605,0.61,4872400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.61,0.625,0.605,0.62,6804700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.615,0.615,0.595,0.61,5228100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
