time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,2.66,2.69,2.56,2.63,5727500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,2.63,2.72,2.63,2.7,4302600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,2.73,2.73,2.68,2.71,2368800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,2.72,2.73,2.68,2.7,1664200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,2.69,2.7,2.61,2.66,2500900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,2.66,2.71,2.63,2.71,1332400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,2.7,2.71,2.65,2.7,2140300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,2.66,2.73,2.65,2.73,1060700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,2.69,2.7,2.67,2.67,366500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,2.67,2.7,2.67,2.69,976300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,2.66,2.69,2.64,2.67,1964200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.65,2.68,2.62,2.66,6892700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.67,2.73,2.57,2.61,8908200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.61,2.64,2.6,2.6,2129600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.61,2.66,2.61,2.64,4712500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.64,2.66,2.62,2.63,3901000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,2.62,2.66,2.62,2.62,2656600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,2.64,2.66,2.62,2.65,883800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,2.67,2.79,2.67,2.78,2362800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,2.75,2.75,2.7,2.72,1862600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,2.73,2.77,2.7,2.74,1896200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,2.76,2.76,2.71,2.75,8503400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,2.72,2.74,2.7,2.73,1065800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,2.71,2.77,2.71,2.73,3907500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,2.74,2.75,2.72,2.73,933800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,2.71,2.71,2.69,2.71,845800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,2.69,2.71,2.67,2.67,424600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,2.67,2.68,2.65,2.68,532600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,2.65,2.67,2.64,2.65,580400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,2.66,2.66,2.61,2.62,607200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,2.62,2.67,2.62,2.66,448900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,2.66,2.67,2.62,2.65,796100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,2.65,2.65,2.59,2.6,1938400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,2.62,2.62,2.6,2.6,384100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,2.62,2.65,2.6,2.65,968800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,2.65,2.69,2.62,2.69,869100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,2.69,2.74,2.68,2.73,2076400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,2.72,2.73,2.7,2.72,749000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,2.7,2.73,2.65,2.7,2760400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,2.7,2.7,2.66,2.69,1621000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,2.7,2.71,2.67,2.69,2810100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,2.7,2.73,2.68,2.68,1074400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,2.7,2.74,2.67,2.74,1281200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,2.74,2.75,2.71,2.73,4028100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,2.75,2.77,2.71,2.77,2771400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,2.75,2.75,2.71,2.74,2596300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,2.73,2.74,2.69,2.73,1347600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,2.71,2.75,2.71,2.71,1892300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,2.72,2.77,2.72,2.75,1295800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,2.76,2.79,2.76,2.79,953000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,2.76,2.86,2.76,2.86,3201500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,2.86,2.91,2.75,2.79,917700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,2.8,2.8,2.71,2.72,1611600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,2.76,2.8,2.75,2.79,2270500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,2.82,2.83,2.77,2.83,1077100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,2.83,2.85,2.79,2.82,1976700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,2.82,2.84,2.8,2.84,2828700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,2.8,2.85,2.8,2.85,4521500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,2.82,2.85,2.79,2.8,3012300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,2.8,2.83,2.77,2.79,3717100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,2.8,2.81,2.76,2.79,2357000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,2.8,2.82,2.79,2.81,2774600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,2.8,2.8,2.78,2.8,423200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,2.8,2.81,2.79,2.8,1272000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,2.8,2.81,2.78,2.8,1268000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,2.78,2.86,2.78,2.84,2326800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,2.84,2.87,2.82,2.87,1531200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,2.88,2.9,2.83,2.88,1985600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,2.88,2.9,2.84,2.88,1878100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,2.89,2.93,2.85,2.92,3289200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,2.92,2.94,2.84,2.85,3806800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,2.86,2.9,2.83,2.86,866400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,2.9,2.9,2.86,2.88,1129100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,2.88,2.89,2.79,2.82,5572800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,2.84,2.88,2.83,2.88,3090400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,2.88,2.91,2.85,2.88,1121700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,2.88,2.89,2.86,2.88,520600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,2.9,2.9,2.84,2.85,912600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,2.88,2.88,2.8,2.87,920100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,2.84,2.89,2.84,2.87,450600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,2.86,2.89,2.85,2.85,657800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,2.86,2.86,2.82,2.82,443200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,2.84,2.89,2.84,2.88,2494300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,2.89,2.9,2.86,2.86,3661900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,2.87,2.87,2.83,2.87,1155100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,2.87,2.88,2.84,2.86,2564100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
