time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479690000,4.56,4.57,4.51,4.53,4268200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.54,4.56,4.48,4.48,4915000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.49,4.52,4.37,4.48,9329700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.48,4.48,4.24,4.31,11508000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.31,4.34,4.22,4.26,8892600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.27,4.27,4.16,4.21,8830000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.22,4.32,4.11,4.32,9998600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.31,4.33,4.18,4.19,47558200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.2,4.29,4.2,4.24,3919600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.24,4.27,4.22,4.25,2800100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.25,4.32,4.24,4.28,2248300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.3,4.3,4.24,4.3,3922000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.27,4.47,4.27,4.42,11009500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.47,4.64,4.43,4.64,6594000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.61,4.61,4.49,4.56,4387900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,4.58,4.59,4.46,4.5,7774800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.5,4.58,4.5,4.56,5176400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.45,4.53,4.45,4.5,6973400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.5,4.68,4.5,4.68,7799900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.63,4.63,4.53,4.54,2716200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,4.55,4.58,4.52,4.58,2005900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,4.58,4.6,4.52,4.52,2424100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.52,4.53,4.5,4.5,3450600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,4.51,4.53,4.49,4.5,1443400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,4.51,4.53,4.45,4.52,2069600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,4.5,4.63,4.5,4.62,2317400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,4.57,4.61,4.56,4.57,2696700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,4.57,4.72,4.48,4.72,18936800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,4.57,4.59,4.5,4.52,3060000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,4.53,4.53,4.46,4.51,4703800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.5,4.66,4.49,4.65,2616100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.65,4.93,4.62,4.93,11002700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.87,4.87,4.73,4.75,3459900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.75,4.82,4.68,4.74,3927000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.74,4.77,4.7,4.72,2140700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,4.74,4.82,4.68,4.69,6636500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,4.7,4.77,4.7,4.72,7234100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,4.71,4.75,4.69,4.72,2371800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,4.72,4.72,4.64,4.64,2103600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.65,4.73,4.64,4.66,1928000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.68,4.71,4.64,4.64,3068400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,4.64,4.68,4.63,4.66,1828100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,4.68,4.75,4.65,4.72,4705900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,4.74,4.88,4.74,4.84,8844300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4.85,4.96,4.84,4.91,11327600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,4.91,5,4.91,4.99,6087500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,4.98,5,4.78,4.84,2308800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,4.85,4.87,4.73,4.73,6300100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,4.7,4.85,4.7,4.8,20002500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,4.81,4.97,4.81,4.95,8492000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,4.95,5.1,4.95,5.08,9851500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,5.07,5.1,5.03,5.07,7331000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,5.03,5.09,5.01,5.01,8418600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,5.05,5.08,5.01,5.01,7853500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,5.01,5.09,5,5.05,10410400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,5.07,5.07,5.01,5.03,7935200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,5.04,5.07,5,5,9956500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,5.01,5.03,4.98,4.98,20638100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,4.95,4.98,4.83,4.83,14801900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,4.83,4.86,4.83,4.83,5808700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,4.84,4.88,4.82,4.85,7380300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,4.87,4.87,4.8,4.8,8028200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,4.8,4.81,4.47,4.53,18926100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,4.5,4.58,4.24,4.29,19015200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,4.32,4.42,4.32,4.36,14312000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,4.38,4.45,4.35,4.43,16338200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,4.44,4.6,4.43,4.55,12854800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,4.57,4.69,4.57,4.67,6767600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,4.66,4.66,4.58,4.62,6485600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,4.62,4.71,4.6,4.7,6542300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,4.68,4.72,4.62,4.71,4739800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,4.73,4.73,4.66,4.72,3445600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,4.7,4.72,4.57,4.65,5252700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,4.67,4.73,4.6,4.73,4365300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,4.7,4.73,4.67,4.72,3190700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,4.67,4.74,4.65,4.67,6601700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,4.65,4.7,4.63,4.67,2562800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,4.72,4.82,4.67,4.81,12059600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,4.83,4.97,4.78,4.97,19333100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,4.97,5.16,4.97,5.08,17306300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,5.08,5.13,5.03,5.07,13298500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,5.01,5.07,4.96,5.06,9860600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
