time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,1.72,1.72,1.67,1.67,931100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.71,1.71,1.67,1.67,43000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.67,1.71,1.67,1.71,126400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.72,1.74,1.68,1.72,442500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.72,1.72,1.68,1.68,346200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.69,1.72,1.68,1.72,203800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.72,1.74,1.69,1.73,81700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.7,1.7,1.67,1.68,375300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.69,1.69,1.68,1.68,93600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.68,1.68,1.65,1.68,257100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.68,1.68,1.67,1.68,70400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.67,1.68,1.67,1.68,11000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.67,1.67,1.64,1.66,102500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.67,1.69,1.67,1.68,1239200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.67,1.68,1.66,1.66,33200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.66,1.66,1.66,1.66,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.66,1.67,1.63,1.63,55200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.63,1.64,1.58,1.58,802500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.63,1.64,1.6,1.61,1448500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.61,1.64,1.61,1.62,4070000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.63,1.65,1.63,1.63,2641500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.63,1.65,1.62,1.65,61800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.66,1.67,1.63,1.65,663300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.65,1.65,1.64,1.64,596800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.64,1.65,1.62,1.62,570500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.65,1.65,1.65,1.65,900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.62,1.64,1.61,1.62,79900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.6,1.63,1.6,1.6,381600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.6,1.6,1.59,1.6,51200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.6,1.62,1.59,1.6,36000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.63,1.63,1.59,1.59,134400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.6,1.61,1.59,1.6,1030000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.6,1.61,1.59,1.61,3152400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.61,1.61,1.6,1.61,236700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.6,1.61,1.59,1.61,223800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.62,1.63,1.62,1.62,1239600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.61,1.62,1.61,1.62,16800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.62,1.65,1.62,1.64,202300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.63,1.65,1.63,1.65,71700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.65,1.65,1.64,1.64,3115300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.63,1.64,1.63,1.63,608200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.63,1.63,1.63,1.63,4100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.63,1.64,1.62,1.63,674800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.63,1.63,1.63,1.63,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.65,1.66,1.64,1.64,2990800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.63,1.65,1.63,1.65,139800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.66,1.67,1.65,1.65,1838400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.66,1.66,1.65,1.65,629800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.65,1.66,1.65,1.65,691900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.65,1.66,1.65,1.66,663700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.66,1.7,1.66,1.7,740600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.7,1.7,1.68,1.69,693200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.69,1.69,1.69,1.69,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.7,1.7,1.68,1.68,462500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.68,1.68,1.68,1.68,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.68,1.68,1.67,1.68,1279000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.67,1.67,1.65,1.65,243600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.65,1.66,1.65,1.66,390100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.66,1.66,1.65,1.66,33300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.66,1.68,1.66,1.68,1418200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.68,1.68,1.66,1.67,221100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.67,1.68,1.66,1.66,545800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.67,1.68,1.66,1.66,1122000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.66,1.66,1.66,1.66,12100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.66,1.66,1.66,1.66,7000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
