time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479690000,44.299999,44.299999,43.52,43.939999,148800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,43.619999,45.080002,43.619999,45,416400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,44.599998,45,43.799999,44.5,352100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,43.860001,44.5,43.799999,43.860001,124900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,43.880001,44.580002,43.880001,44.580002,129000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,43.98,44.540001,43.959999,44.200001,55900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,44.040001,44.779999,43.900002,44.040001,239000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,44.060001,44.400002,41,44.200001,623700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,44,44.5,43.48,44.5,48500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,43.84,44.66,43.700001,44.459999,118700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,44.5,45.799999,44.32,45.299999,229400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,44.66,44.98,44.200001,44.900002,419300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,45.139999,45.139999,43.98,44.259998,173600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,44.599998,44.98,44.099998,44.98,218900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,45.299999,45.299999,44.240002,44.799999,114600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,44.5,45.200001,44.240002,45.080002,181100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,45,45.5,44.959999,45.5,106200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,44.799999,44.900002,44.32,44.32,115300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,44.240002,44.34,43.259998,43.259998,246200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,43.279999,43.700001,43.279999,43.599998,42300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,43.799999,43.919998,43.700001,43.919998,101700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,43.919998,44.02,43.139999,43.18,322500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,43.200001,43.240002,43,43,60000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,43,43.099998,42.5,42.5,245500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,42.52,43.060001,42.32,43.060001,36700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,43,43.700001,43,43.400002,464800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,43.299999,43.48,42.68,43,697700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,43.02,44.599998,42.900002,44.599998,1182500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,43.419998,44.599998,43.419998,44.599998,47900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,44.400002,45,44.040001,45,87400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,44.799999,45,44.299999,45,140800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,44.939999,45.32,44.779999,45.299999,150300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,45,45.580002,45,45.419998,144700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,45.400002,46.279999,45.380001,46.279999,181800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,45.66,46.580002,45.66,46.580002,81900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,46.799999,48.5,46.5,48.5,219600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,48,48,44.799999,44.799999,342300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,44.799999,45.700001,44.639999,44.639999,66400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,45,45.200001,44.639999,45,153400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,44.98,45.380001,44.599998,44.959999,150100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,45.099998,45.099998,44.52,44.779999,263400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,44.48,44.84,44.080002,44.099998,263600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,44.18,44.799999,44.099998,44.419998,406100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,44.779999,46.380001,44.740002,46.380001,368100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
