time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478480400,2.25,2.29,2.24,2.25,732600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478566800,2.26,2.28,2.23,2.26,905800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478653200,2.25,2.27,2.17,2.24,2600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,2.25,2.25,2.21,2.22,816800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,2.22,2.22,2.1,2.1,4518300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,2.1,2.1,2.02,2.06,4720600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,2.06,2.08,1.95,2.03,8952000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,2.06,2.07,2,2.06,4253300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,2.06,2.1,2.05,2.08,1803300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,2.07,2.12,2.07,2.11,1095200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,2.1,2.14,2.09,2.14,1481900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,2.14,2.15,2.11,2.15,880200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,2.12,2.16,2.1,2.16,805500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,2.16,2.17,2.12,2.16,1093200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,2.15,2.18,2.14,2.14,575200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,2.14,2.18,2.13,2.15,509300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.15,2.15,2.1,2.11,208800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.11,2.18,2.07,2.15,2334000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.14,2.16,2.08,2.15,774700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.14,2.14,2.12,2.12,1017900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.12,2.12,2.08,2.08,761900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
