time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1477011600,4.31,4.31,4.2,4.28,1782500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477270800,4.28,4.3,4.25,4.28,2390600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477357200,4.28,4.3,4.27,4.28,2509300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477443600,4.3,4.3,4.25,4.26,394700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477530000,4.34,4.34,4.21,4.24,1520800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477616400,4.24,4.24,4.19,4.2,431200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477875600,4.34,4.4,4.12,4.4,278900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1477962000,4.37,4.37,4.2,4.37,60200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478048400,4.27,4.35,4.25,4.35,5600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478134800,4.28,4.3,4.21,4.27,3015700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478221200,4.28,4.3,4.22,4.26,3905300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478480400,4.21,4.35,4.19,4.35,618000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478566800,4.29,4.35,4.29,4.3,2993100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478653200,4.33,4.33,4.22,4.26,1137700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,4.3,4.3,4.27,4.28,1868400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,4.21,4.25,4.21,4.23,26000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,4.18,4.21,4.18,4.2,321800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.28,4.28,4.21,4.22,1662500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.3,4.3,4.15,4.24,2074000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.23,4.25,4.19,4.23,1132800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.3,4.3,4.23,4.24,1860000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.25,4.27,4.15,4.26,769700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.3,4.32,4.23,4.32,2082300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.25,4.25,4.22,4.22,516400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.2,4.2,4.18,4.18,14500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.16,4.23,4.16,4.23,16500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.23,4.23,4.19,4.19,18000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.18,4.18,4.12,4.13,278100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
