time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1480899600,5.653327,5.786661,5.646661,5.659994,1161901,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,5.673328,5.719994,5.666661,5.666661,7050,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,5.673328,5.786661,5.666661,5.719994,989850,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,5.779994,5.793327,5.726661,5.766661,927900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,5.773327,5.779994,5.733328,5.766661,95850,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,5.739994,5.793327,5.739994,5.786661,1705201,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,5.733328,5.819994,5.733328,5.813328,2052152,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,5.819994,5.933327,5.793327,5.873328,2442152,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,5.753328,5.906661,5.753328,5.893328,926850,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,5.899994,5.913327,5.839994,5.866661,2552402,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,5.893328,5.899994,5.859994,5.866661,2025902,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,5.859994,5.879994,5.853327,5.853327,1960651,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,5.859994,5.933327,5.846661,5.919994,370950,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,5.879994,5.913327,5.879994,5.879994,3600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,5.853327,5.886661,5.853327,5.873328,24600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,5.873328,5.893328,5.833327,5.833327,8159708,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,5.833327,5.859994,5.806661,5.833327,590550,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,5.799994,5.926661,5.799994,5.899994,1154401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,5.866661,5.926661,5.839994,5.926661,528900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,5.926661,5.926661,5.886661,5.926661,112800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,5.913327,5.926661,5.859994,5.919994,49800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,5.919994,5.919994,5.846661,5.919994,1051951,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,5.873328,5.913327,5.859994,5.893328,267600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,5.873328,5.919994,5.873328,5.913327,133950,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,5.866661,5.926661,5.866661,5.926661,576150,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,5.933327,5.953328,5.926661,5.933327,233550,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,5.906661,5.933327,5.906661,5.933327,123150,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,5.919994,5.926661,5.893328,5.919994,369600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,5.919994,5.919994,5.913327,5.919994,39000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,5.873328,5.926661,5.873328,5.919994,542700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,5.886661,5.919994,5.879994,5.913327,998100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,5.913327,5.919994,5.906661,5.913327,74850,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,5.926661,5.926661,5.873328,5.913327,31650,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,5.919994,5.919994,5.873328,5.899994,159900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,5.899994,5.919994,5.879994,5.913327,89850,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,5.886661,5.926661,5.873328,5.906661,656250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,5.919994,5.926661,5.879994,5.926661,553950,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,5.926661,5.926661,5.919994,5.926661,366300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,5.933327,5.933327,5.906661,5.906661,612300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,5.906661,5.906661,5.873328,5.906661,439200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,5.906661,5.906661,5.806661,5.833327,868950,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,5.833327,5.866661,5.813328,5.819994,1588351,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,5.826661,5.833327,5.799994,5.819994,2284802,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,5.806661,5.839994,5.806661,5.833327,1681051,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,5.813328,5.853327,5.813328,5.826661,2866352,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,5.826661,5.846661,5.813328,5.833327,5829605,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,5.833327,5.873328,5.833327,5.866661,3611253,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,5.879994,5.879994,5.839994,5.873328,4156054,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,5.873328,5.873328,5.866661,5.873328,685350,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,5.866661,5.879994,5.466661,5.879994,677400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,5.886661,5.913327,5.759994,5.913327,985050,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,5.919994,5.926661,5.886661,5.926661,888450,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,5.926661,5.959994,5.879994,5.959994,507750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,5.959994,5.999994,5.959994,5.999994,409200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,5.999994,5.999994,5.893328,5.906661,686400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,5.913327,5.919994,5.853327,5.853327,526800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,5.806661,5.939994,5.799994,5.926661,1867351,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,5.933327,6.099994,5.933327,6.066661,5202305,NaN,NaN,NaN,NaN,NaN,NaN,NaN
