time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1480294800,2.73,2.75,2.68,2.73,7172900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.71,2.73,2.63,2.67,11107000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.68,2.76,2.64,2.76,15478700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.73,2.74,2.69,2.69,11062100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.7,2.7,2.63,2.64,9060300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.61,2.61,2.55,2.6,19423700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,2.59,2.6,2.52,2.54,22755300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,2.52,2.56,2.51,2.52,16716400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,2.54,2.55,2.49,2.53,23880800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,2.52,2.56,2.47,2.55,23678800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,2.56,2.57,2.51,2.51,14208600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,2.52,2.53,2.5,2.52,10888200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,2.51,2.53,2.49,2.53,7964500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,2.53,2.53,2.48,2.5,19117600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,2.49,2.51,2.46,2.46,8928500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,2.47,2.48,2.39,2.4,19040900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,2.4,2.4,2.32,2.35,13182100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,2.34,2.38,2.33,2.35,7146400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,2.35,2.35,2.31,2.31,6082700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,2.31,2.33,2.21,2.21,12736600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,2.22,2.34,2.2,2.33,9090300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,2.33,2.34,2.25,2.28,12049700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,2.29,2.34,2.28,2.29,7197500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,2.3,2.34,2.29,2.31,3900300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,2.31,2.32,2.21,2.23,22798600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,2.22,2.22,2.16,2.17,24137700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,2.18,2.24,2.18,2.22,17435700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,2.23,2.24,2.16,2.16,17562000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,2.17,2.2,2.16,2.19,24597600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,2.18,2.38,2.17,2.38,49397300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,2.38,2.51,2.37,2.51,28816100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,2.5,2.51,2.42,2.44,22996600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,2.46,2.48,2.35,2.37,10629100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,2.37,2.48,2.36,2.46,11868300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,2.46,2.63,2.46,2.63,43779900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,2.63,2.71,2.57,2.58,35355900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,2.57,2.65,2.55,2.58,17802300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,2.56,2.57,2.39,2.44,39903300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,2.46,2.5,2.43,2.49,25259000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,2.49,2.53,2.47,2.49,15064500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,2.5,2.51,2.46,2.47,7889400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,2.47,2.48,2.45,2.48,5719900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,2.49,2.6,2.48,2.55,31397900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,2.56,2.58,2.5,2.54,32046900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,2.55,2.57,2.54,2.56,13525700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,2.56,2.65,2.56,2.65,29140800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,2.65,2.66,2.59,2.63,21816000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,2.63,2.7,2.6,2.7,24963400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,2.7,2.74,2.65,2.65,23324200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,2.65,2.68,2.62,2.66,9500500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,2.67,2.67,2.62,2.64,9487600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,2.63,2.64,2.59,2.62,13345800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,2.62,2.65,2.57,2.58,5990200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
