time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,14.32,14.32,14.18,14.24,80600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,14.16,14.24,14.06,14.06,24500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,14.06,14.26,14.04,14.04,109100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,14.38,14.38,13.76,13.76,162100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,13.9,13.98,13.74,13.9,393100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,13.86,14.2,13.86,14.2,52600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,14.2,14.36,14.14,14.36,24500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,14.3,14.6,14.16,14.6,110100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,14.36,14.36,14.16,14.3,29300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,14.18,14.32,14.16,14.3,149700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,14.2,14.36,14.14,14.14,104100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,14.1,14.12,13.92,14,35200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,13.98,13.98,13.8,13.82,248600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,13.82,13.88,13.72,13.86,887000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,13.86,13.92,13.8,13.8,210900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,13.74,13.84,13.74,13.76,49300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,13.8,13.82,13.76,13.76,60400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,13.8,14,13.78,13.9,73600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,13.98,13.98,13.76,13.92,170300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,14.08,14.14,13.86,14.14,77900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,13.9,14.14,13.88,13.94,76800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,14.1,14.1,13.72,14,143800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,13.9,13.96,13.86,13.9,69200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,13.92,14,13.9,13.9,56200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,14,14.2,13.9,13.9,80500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,13.94,14.2,13.9,14,15900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,13.96,14.2,13.96,13.96,188400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,14,14,13.92,14,18700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,13.92,13.94,13.92,13.94,4000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,13.92,13.94,13.9,13.9,13400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,13.9,13.9,13.9,13.9,24700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,13.9,14,13.9,13.96,114000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,13.98,14,13.92,13.94,31500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,13.94,13.96,13.9,13.92,47600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,13.92,13.96,13.9,13.96,23400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,14,14.16,13.96,14,49700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,14,14,13.96,14,42000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,13.96,13.98,13.9,13.96,84700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,13.96,13.96,13.9,13.9,56500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,13.92,13.96,13.9,13.92,221000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,13.96,13.96,13.9,13.9,204900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,13.92,14.2,13.92,14.14,219800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,14.1,14.1,13.94,14.1,81400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,14.04,14.04,13.94,13.98,69900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,14,14.04,13.98,13.98,487400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,14,14,13.94,13.94,43800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
