time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478480400,4.99,5.02,4.98,5,5552300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478566800,5,5.04,5,5.04,7964600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478653200,4.99,5.04,4.97,5.02,8959400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,4.99,5.05,4.99,5.02,10093600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,4.97,5.02,4.91,4.99,12109000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,4.99,4.99,4.88,4.92,9571100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.92,4.99,4.92,4.98,5917500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,5,5.02,4.98,4.99,7308600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,5,5.01,4.93,5,4714600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.99,5,4.95,4.99,6601700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,5,5,4.97,4.99,1681500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,5,5.01,4.94,4.99,6847500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,5,5,4.96,4.99,9217000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.99,4.99,4.95,4.97,5920500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.95,4.98,4.95,4.97,5440600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.97,4.98,4.96,4.97,7115300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.93,4.97,4.9,4.95,6947900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.97,4.99,4.87,4.87,15741800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.9,4.96,4.88,4.95,4428500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.95,4.98,4.94,4.95,3058100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.91,4.99,4.91,4.96,2477200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.97,4.99,4.95,4.98,2728300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.97,4.99,4.96,4.98,4190900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.99,5,4.97,4.99,5161600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.95,5,4.95,4.99,4794500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,5,5,4.96,4.98,9302000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.96,4.99,4.96,4.98,4398700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.94,4.99,4.93,4.97,4226400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.94,4.97,4.94,4.96,7859800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.94,5,4.94,4.98,2614200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,5,5,4.97,4.99,4015300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,5,5,4.97,4.98,4200900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.99,5,4.95,4.97,5171700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,4.97,4.99,4.95,4.95,3524900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,4.93,4.97,4.93,4.93,3371300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,4.93,4.99,4.93,4.94,3943000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,4.94,4.98,4.92,4.96,5232700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,4.95,4.97,4.83,4.83,11257400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,4.86,4.87,4.83,4.86,4560000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,4.86,4.9,4.85,4.89,6051400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.88,4.91,4.87,4.9,5409700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.9,4.92,4.88,4.91,4655800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.91,4.92,4.89,4.9,3956800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.91,4.94,4.89,4.9,5195400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.93,4.93,4.89,4.91,1907900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,4.92,4.99,4.88,4.88,4778500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,4.89,4.93,4.89,4.91,5921500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,4.9,4.91,4.85,4.89,8863300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,4.9,4.95,4.88,4.95,10770700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.95,4.97,4.89,4.89,4119900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.9,4.91,4.86,4.91,8930000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,4.92,4.94,4.9,4.92,9006200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,4.92,4.96,4.91,4.92,8314000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,4.95,4.95,4.9,4.94,11085800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4.95,4.95,4.89,4.91,7463800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,4.9,4.95,4.88,4.91,7965000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,4.93,4.93,4.89,4.93,3252600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,4.92,5,4.89,4.96,5151700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,4.93,5.02,4.93,5.01,7949700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,5,5.06,4.98,5.05,7732400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,5.05,5.11,5.01,5.1,8051000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,5.1,5.13,5.08,5.1,12308800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,5.1,5.12,5.03,5.03,9978100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,5.04,5.09,5.02,5.09,9391000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,5.04,5.12,5.04,5.11,12066900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,5.11,5.11,5.06,5.09,9071300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,5.1,5.11,5.04,5.06,5989300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,5.07,5.09,5.06,5.07,5393500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
