time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,4.8,4.81,4.77,4.77,22139600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.8,4.81,4.75,4.79,12837700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.8,4.86,4.78,4.79,20609900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.81,4.81,4.67,4.7,24987100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.71,4.73,4.61,4.64,16913400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.63,4.69,4.63,4.69,12270000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.69,4.71,4.64,4.66,15529600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.66,4.67,4.6,4.6,17746200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.6,4.66,4.56,4.64,8866100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.65,4.67,4.63,4.66,6655500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.66,4.67,4.64,4.66,7593800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.65,4.66,4.6,4.62,11699100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.63,4.64,4.57,4.57,17971900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.59,4.68,4.57,4.67,11267100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.67,4.69,4.65,4.67,11926000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.67,4.67,4.62,4.63,6830400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.62,4.66,4.6,4.64,12668300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.67,4.67,4.62,4.64,11073000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.66,4.69,4.62,4.64,8929900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.63,4.67,4.62,4.65,14936200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,4.7,4.7,4.63,4.66,16575600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.67,4.67,4.62,4.65,8851500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.62,4.65,4.59,4.62,11935500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.64,4.64,4.6,4.6,10121100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.59,4.62,4.58,4.6,8170400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,4.61,4.63,4.58,4.6,7581000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,4.58,4.61,4.54,4.54,13140400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.55,4.58,4.54,4.57,7976900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,4.57,4.61,4.55,4.58,6293600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,4.58,4.6,4.55,4.58,4815100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,4.58,4.58,4.55,4.56,6443500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,4.57,4.58,4.55,4.56,6713200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,4.56,4.56,4.49,4.51,7236300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,4.53,4.57,4.51,4.54,12054200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,4.54,4.62,4.54,4.6,19541700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.62,4.67,4.6,4.66,20518700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.66,4.74,4.66,4.74,18233800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.75,4.79,4.74,4.76,13203800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.76,4.8,4.75,4.8,15804700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.81,4.83,4.8,4.82,19982100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,4.82,4.87,4.82,4.86,23152100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,4.85,4.88,4.81,4.82,11642300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,4.82,4.82,4.71,4.72,19591700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,4.72,4.75,4.71,4.74,13125700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.74,4.82,4.74,4.82,19239900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.83,4.84,4.79,4.82,11503800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,4.82,4.86,4.82,4.84,19606400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,4.8,4.88,4.8,4.88,23153600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,4.88,4.93,4.86,4.92,32845800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4.93,4.97,4.92,4.96,22043300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,4.96,5.02,4.95,5.02,30946000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,5.02,5.02,4.96,5,7420800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,5,5.01,4.91,4.97,6884200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,5,5,4.94,4.95,7697000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,4.95,4.98,4.93,4.97,9560100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,4.97,5,4.96,4.97,11134800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,4.97,4.98,4.92,4.97,10250400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,4.94,5,4.94,5,13894000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,5.08,5.15,5.06,5.08,24385100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,5.11,5.19,5.11,5.17,17997900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,5.17,5.18,5.15,5.17,17410700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,5.17,5.18,5.15,5.17,17626500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,5.17,5.17,5.07,5.09,13386100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,5.09,5.1,5.07,5.08,12140700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,5.08,5.14,5.07,5.09,7796800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,5.12,5.14,5.08,5.08,7432400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,5.09,5.13,5.04,5.08,19754900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,5.09,5.1,5.07,5.09,8820300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,5.08,5.11,5.06,5.08,11758600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,5.07,5.11,4.94,4.94,8767100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,4.95,5.01,4.91,4.97,19313000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,5.04,5.11,5.01,5.09,19159100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,5.11,5.27,5.11,5.2,19098700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,5.22,5.25,5.13,5.22,17092000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,5.23,5.5,5.21,5.46,29293400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,5.47,5.48,5.39,5.45,21796600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,5.39,5.44,5.36,5.37,13198000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,5.36,5.43,5.35,5.38,11297600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,5.4,5.41,5.31,5.37,17857300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,5.37,5.42,5.37,5.4,16423700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,5.4,5.47,5.37,5.42,21191000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,5.4,5.4,5.35,5.36,9596300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,5.4,5.59,5.4,5.59,49445500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,5.59,5.77,5.58,5.65,54958200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,5.67,5.83,5.62,5.65,30954300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,5.66,5.73,5.62,5.65,15959200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,5.6,5.63,5.55,5.6,22443200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,5.63,5.7,5.6,5.6,24000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,5.65,5.66,5.61,5.62,11265800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,5.64,5.72,5.62,5.62,15783500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,5.61,5.63,5.55,5.56,13841000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,5.57,5.61,5.56,5.58,16857600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,5.58,5.61,5.55,5.61,23012400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,5.58,5.61,5.5,5.57,19243700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491181200,5.56,5.63,5.52,5.59,14029100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,5.59,5.61,5.55,5.57,26708800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491354000,5.57,5.58,5.55,5.56,29111900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491440400,5.56,5.57,5.48,5.49,22466700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491526800,5.48,5.52,5.43,5.46,19165800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491786000,5.46,5.5,5.45,5.47,10645300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491872400,5.48,5.5,5.42,5.46,8344700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491958800,5.46,5.47,5.43,5.47,9349800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492045200,5.47,5.47,5.33,5.38,24331200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492131600,5.38,5.4,5.32,5.38,8596500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492390800,5.37,5.48,5.37,5.45,7951800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492477200,5.5,5.5,5.46,5.48,11131400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492563600,5.47,5.5,5.45,5.48,4917700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492650000,5.46,5.53,5.46,5.5,9095000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492736400,5.53,5.65,5.53,5.61,12231500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493082000,5.72,5.81,5.65,5.75,23816500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493168400,5.77,5.79,5.74,5.75,18205000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493254800,5.79,5.82,5.75,5.75,15391100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493341200,5.78,5.8,5.74,5.74,14791500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493686800,5.8,5.94,5.75,5.88,21590200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493773200,5.91,5.96,5.78,5.81,9945600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493859600,5.81,5.84,5.71,5.79,16079200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493946000,5.78,5.84,5.74,5.81,15991900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
