time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,1.55,1.55,1.51,1.52,3851000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.52,1.54,1.52,1.53,6148000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.52,1.55,1.51,1.54,5155900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.54,1.54,1.52,1.53,2220300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.52,1.52,1.52,1.52,209600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.51,1.51,1.5,1.51,539600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.51,1.53,1.49,1.49,7211800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.5,1.53,1.49,1.52,1374900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.51,1.53,1.51,1.52,1029300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.52,1.53,1.52,1.53,900500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.53,1.55,1.52,1.55,266100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.54,1.57,1.53,1.55,1446700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.54,1.58,1.54,1.56,2317600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.56,1.58,1.56,1.56,932000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.58,1.58,1.56,1.57,1057700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.57,1.57,1.55,1.56,809600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.55,1.56,1.54,1.54,10282400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.55,1.55,1.53,1.54,5488700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.54,1.54,1.53,1.54,4715500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.54,1.55,1.54,1.55,65500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.55,1.57,1.53,1.56,3742300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.55,1.55,1.53,1.54,2617200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.53,1.57,1.53,1.55,7078900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.55,1.56,1.53,1.53,1950700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.53,1.55,1.53,1.55,4300900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.54,1.55,1.53,1.53,6020700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.53,1.56,1.53,1.56,1955000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.56,1.56,1.53,1.54,238900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.54,1.54,1.53,1.54,1038400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.53,1.55,1.53,1.55,17700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.55,1.55,1.53,1.54,955500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.54,1.55,1.53,1.54,7472900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.54,1.54,1.52,1.53,8230800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.53,1.55,1.53,1.55,3018800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.55,1.55,1.53,1.54,3927000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.54,1.54,1.53,1.54,1439100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.54,1.57,1.54,1.55,1776200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.55,1.57,1.55,1.55,167800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.55,1.61,1.55,1.61,2826600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.58,1.6,1.57,1.6,4365600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.6,1.62,1.58,1.61,3971800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.6,1.61,1.6,1.6,2463300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
