time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,3.65,3.65,3.57,3.6,707300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,3.61,3.68,3.61,3.68,221300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,3.68,3.68,3.62,3.65,460500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,3.67,3.67,3.62,3.64,112200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,3.68,3.68,3.62,3.63,430900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,3.65,3.65,3.62,3.64,407500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,3.63,3.64,3.6,3.63,697100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,3.65,3.7,3.63,3.7,214400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,3.68,3.69,3.62,3.66,24400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,3.62,3.62,3.61,3.61,89700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,3.61,3.61,3.59,3.6,619200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,3.6,3.65,3.6,3.62,66000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,3.62,3.62,3.53,3.57,1356600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,3.62,3.77,3.62,3.77,728300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,3.79,3.84,3.79,3.83,779300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,3.82,3.84,3.82,3.84,127300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,3.85,3.87,3.83,3.87,368900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,3.88,3.93,3.85,3.91,417500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,3.93,3.94,3.88,3.91,784900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,3.9,3.9,3.84,3.88,466100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,3.89,3.9,3.85,3.87,256400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,3.85,3.87,3.85,3.86,293300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,3.86,3.91,3.86,3.9,1816800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,3.86,3.87,3.84,3.86,846600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,3.86,3.9,3.85,3.89,1037600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,3.89,3.9,3.86,3.86,232800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,3.85,3.9,3.85,3.88,223700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,3.88,3.91,3.87,3.88,670400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,3.88,3.91,3.88,3.89,559200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,3.89,3.89,3.88,3.89,48100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,3.89,3.9,3.86,3.87,971500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,3.86,3.89,3.86,3.86,797200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,3.87,4,3.85,4,1374400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,3.94,3.94,3.83,3.84,1511500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,3.89,3.89,3.84,3.85,1842700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,3.86,3.88,3.84,3.88,1864200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,3.88,3.9,3.87,3.9,1086300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,3.89,3.89,3.87,3.88,421200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,3.91,3.99,3.88,3.97,1357100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,3.97,3.97,3.83,3.89,1462400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,3.89,3.97,3.89,3.97,519700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,3.97,3.97,3.95,3.95,450100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,3.97,3.97,3.93,3.97,324600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,3.97,4.1,3.96,4.07,3113800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.04,4.12,4.04,4.12,2504600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.12,4.15,4.1,4.13,937600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,4.13,4.14,4.1,4.11,902200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,4.11,4.16,4.1,4.13,1616300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,4.12,4.15,4.12,4.15,2521700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4.15,4.15,4.09,4.1,954900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,4.1,4.16,4.09,4.16,2216200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,4.15,4.16,4.11,4.15,578800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,4.11,4.12,4.1,4.11,276600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,4.14,4.17,4.11,4.14,2157500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,4.14,4.18,4.14,4.18,675300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,4.18,4.19,4.15,4.19,788900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,4.18,4.21,4.18,4.21,471500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
