time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1626656400,1.5,1.76,1.5,1.62,366359300,2200000000,285504000,192996000,14264000,37849000,92508000,NaN
1626829200,1.64,1.66,1.57,1.58,65764700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626915600,1.59,1.6,1.52,1.54,37309500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627002000,1.54,1.58,1.51,1.53,38979000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627261200,1.53,1.56,1.52,1.53,23483800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627347600,1.54,1.62,1.53,1.54,61084000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627434000,1.55,1.58,1.54,1.56,15667300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627520400,1.56,1.6,1.54,1.54,35825400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627606800,1.54,1.55,1.52,1.53,19095000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627866000,1.53,1.55,1.53,1.53,10782900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627952400,1.53,1.56,1.53,1.55,15229200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628038800,1.54,1.57,1.53,1.55,17981800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628125200,1.55,1.58,1.54,1.56,9816400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628211600,1.57,1.57,1.55,1.56,6258300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628470800,1.56,1.58,1.55,1.56,10510700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628643600,1.57,1.61,1.56,1.58,28590200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628730000,1.58,1.59,1.55,1.57,14696900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628816400,1.57,1.57,1.55,1.57,7276600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629075600,1.55,1.56,1.53,1.55,14695600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629162000,1.55,1.56,1.54,1.56,9216200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629248400,1.55,1.56,1.54,1.56,4239400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629334800,1.55,1.57,1.55,1.56,4444900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629421200,1.56,1.63,1.55,1.61,29930500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629680400,1.62,1.65,1.59,1.62,21519700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629766800,1.62,1.72,1.61,1.7,50950600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629853200,1.7,1.73,1.68,1.71,41707900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629939600,1.7,1.8,1.69,1.79,50608700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630026000,1.79,1.83,1.75,1.76,42385800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630285200,1.77,1.78,1.73,1.74,17115800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630458000,1.74,1.78,1.72,1.76,29062400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630544400,1.76,1.8,1.75,1.75,13083200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630630800,1.76,1.92,1.75,1.9,98231900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630890000,1.89,1.98,1.89,1.89,51662600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630976400,1.9,1.93,1.86,1.9,27973000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631062800,1.89,1.94,1.87,1.88,19208500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631149200,1.89,1.9,1.79,1.82,50206800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631235600,1.82,1.86,1.81,1.85,20162400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631494800,1.85,1.86,1.82,1.83,14214600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631581200,1.84,1.89,1.83,1.85,21577000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631667600,1.86,1.88,1.84,1.84,14007700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631840400,1.85,1.86,1.76,1.85,47369800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1632099600,1.87,1.91,1.84,1.88,25474000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1632186000,1.86,1.99,1.86,1.98,51132000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1632272400,1.97,2.02,1.91,2.02,63920200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1632358800,2.01,2.07,2,2.04,32613600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1632445200,2.04,2.09,2.02,2.04,32103100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
