time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478480400,1.51,1.53,1.51,1.52,4921400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478566800,1.52,1.53,1.51,1.52,4276100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478653200,1.52,1.53,1.49,1.52,8083600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,1.52,1.53,1.52,1.52,1999000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,1.52,1.53,1.52,1.52,6071700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.52,1.53,1.52,1.52,4642000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.52,1.54,1.52,1.53,5454200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.53,1.54,1.52,1.53,1841600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.53,1.55,1.53,1.55,3487000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.55,1.56,1.53,1.55,4309200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.54,1.56,1.53,1.54,7153400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.54,1.55,1.53,1.55,6622600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.55,1.56,1.54,1.55,4749500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.55,1.55,1.52,1.53,5936900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.53,1.53,1.52,1.52,1213100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.52,1.53,1.51,1.53,2929200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.53,1.54,1.52,1.54,3348000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.52,1.6,1.52,1.6,9682800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.54,1.56,1.53,1.56,9659100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.56,1.56,1.54,1.54,5578000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.54,1.55,1.53,1.53,5774200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.53,1.54,1.52,1.54,3254200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.54,1.54,1.53,1.53,1694300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.53,1.54,1.53,1.54,6117100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.53,1.54,1.52,1.53,11238700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.53,1.54,1.52,1.54,9260500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.53,1.54,1.52,1.53,4973100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.52,1.53,1.52,1.52,3231100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.52,1.53,1.51,1.52,10035000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.52,1.53,1.52,1.52,3318100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.52,1.53,1.51,1.52,8808400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.52,1.53,1.52,1.52,1466100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.52,1.53,1.52,1.52,7902100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.52,1.54,1.52,1.53,4891800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.53,1.54,1.52,1.53,3667200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.53,1.54,1.53,1.53,1583200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.53,1.55,1.52,1.55,7272700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.54,1.55,1.53,1.54,4996300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.54,1.54,1.53,1.53,2166600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.53,1.55,1.53,1.54,8388600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.55,1.55,1.53,1.54,5562100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.54,1.55,1.54,1.55,6781000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.55,1.55,1.54,1.55,3891900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.55,1.55,1.54,1.55,5521700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.54,1.55,1.54,1.55,7029200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.55,1.57,1.54,1.56,6395800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.56,1.58,1.56,1.57,7488600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.57,1.57,1.55,1.55,3461600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.55,1.56,1.54,1.55,2995300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.55,1.56,1.54,1.54,9645000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.53,1.55,1.53,1.55,9791100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.54,1.55,1.54,1.54,6631400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.54,1.55,1.53,1.53,9267600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.54,1.56,1.53,1.55,12776300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.55,1.55,1.52,1.53,11582100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.53,1.55,1.53,1.55,4762400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.54,1.55,1.54,1.54,1225200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.53,1.54,1.53,1.53,2344100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.54,1.54,1.53,1.53,9015000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.54,1.54,1.53,1.54,7240400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.54,1.55,1.53,1.54,7066000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.53,1.54,1.53,1.54,4276400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.54,1.56,1.53,1.53,6408100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.53,1.55,1.53,1.55,8951900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.55,1.56,1.54,1.54,7084300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.54,1.55,1.54,1.55,6436300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.56,1.63,1.55,1.61,20047100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.61,1.61,1.59,1.6,8963100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.6,1.61,1.59,1.61,8090300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,1.61,1.61,1.59,1.61,11376300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,1.61,1.61,1.58,1.6,4212800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,1.6,1.6,1.59,1.59,5809800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,1.6,1.62,1.59,1.6,14910400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,1.61,1.61,1.59,1.61,1899100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,1.61,1.74,1.6,1.7,43763300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,1.71,1.71,1.66,1.68,19100300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,1.67,1.71,1.66,1.68,25138200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,1.68,1.69,1.67,1.68,22322200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,1.67,1.7,1.65,1.66,19936300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,1.66,1.67,1.63,1.65,24039300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,1.65,1.69,1.65,1.66,31611300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,1.67,1.69,1.66,1.68,27845600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,1.68,1.68,1.66,1.67,15825100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,1.66,1.66,1.65,1.66,12086500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,1.65,1.67,1.64,1.66,12787500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,1.66,1.68,1.66,1.66,17327800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,1.66,1.67,1.63,1.64,3674800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,1.64,1.66,1.64,1.66,6068700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,1.66,1.66,1.65,1.66,11842900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,1.66,1.68,1.65,1.67,7255200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,1.67,1.71,1.66,1.71,11875400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,1.69,1.7,1.68,1.7,8305600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,1.69,1.72,1.69,1.71,12620400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,1.7,1.71,1.69,1.69,3857800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,1.69,1.72,1.68,1.72,4878600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,1.71,1.73,1.71,1.73,12043400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,1.73,1.74,1.71,1.71,8179200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,1.71,1.73,1.71,1.73,10946500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,1.72,1.78,1.72,1.77,18565500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491181200,1.77,1.78,1.75,1.77,11575400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,1.77,1.84,1.77,1.83,20301300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491354000,1.84,1.87,1.82,1.82,22461300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491440400,1.82,1.83,1.74,1.75,28288600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491526800,1.76,1.83,1.75,1.83,13235500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491786000,1.82,1.84,1.8,1.83,7967300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491872400,1.81,1.87,1.81,1.85,20766900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491958800,1.85,1.86,1.83,1.85,15032400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
