time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,0.26,0.26,0.245,0.25,11962800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,0.25,0.25,0.24,0.25,4744300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.25,0.255,0.25,0.25,2978600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.25,0.26,0.245,0.255,9257500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.255,0.26,0.255,0.26,4888900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.26,0.26,0.255,0.255,5744400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.26,0.27,0.255,0.27,9071100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.27,0.27,0.26,0.265,6645100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.26,0.26,0.255,0.255,3414100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.255,0.26,0.255,0.255,2273500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.265,0.27,0.255,0.26,12407900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.255,0.26,0.255,0.255,4399200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.255,0.255,0.24,0.24,9702700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.24,0.245,0.235,0.235,6306400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.24,0.245,0.24,0.24,7009900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.245,0.25,0.235,0.24,14213400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.24,0.24,0.235,0.24,3100100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.235,0.24,0.23,0.23,3676800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.23,0.235,0.225,0.23,5463100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.235,0.24,0.235,0.24,3638000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.235,0.24,0.23,0.24,3642500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.24,0.25,0.24,0.245,8688700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.245,0.25,0.24,0.245,3318400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.245,0.245,0.24,0.245,1276800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.245,0.25,0.24,0.245,4138700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.245,0.26,0.245,0.255,15731000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.255,0.26,0.255,0.255,3602400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.255,0.26,0.25,0.255,4350200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.255,0.26,0.25,0.255,3508700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.255,0.255,0.245,0.245,4825700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.245,0.25,0.245,0.245,1202200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.245,0.26,0.245,0.255,7530300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.255,0.26,0.25,0.255,4417000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,0.255,0.255,0.25,0.255,769500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
