time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,1.23,1.25,1.21,1.25,2167200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.25,1.28,1.24,1.25,3888500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.26,1.27,1.22,1.22,1320400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.23,1.24,1.2,1.21,2082400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.22,1.23,1.21,1.22,2050500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.23,1.24,1.2,1.2,3831900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.21,1.22,1.19,1.2,2285600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.2,1.2,1.12,1.12,5100100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.12,1.15,1.1,1.1,4700900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.11,1.14,1.1,1.1,3507000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.1,1.1,1.01,1.01,5211000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.02,1.03,0.98,0.98,9385800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.94,0.975,0.92,0.965,16837200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.97,1.04,0.965,1.03,13049400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.03,1.07,1,1.03,6825600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.04,1.06,1.02,1.06,5429500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.05,1.07,1.03,1.06,4312700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.06,1.06,1.04,1.04,1606000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.05,1.17,1.04,1.17,7588800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.16,1.22,1.14,1.2,10641300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.21,1.24,1.19,1.23,3341300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.23,1.23,1.2,1.21,2083500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.2,1.26,1.18,1.23,6890400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.24,1.26,1.22,1.24,3863800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.24,1.24,1.21,1.22,1373200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.21,1.23,1.2,1.21,2623600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.21,1.25,1.2,1.24,5341100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.24,1.27,1.21,1.22,7525700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.23,1.23,1.2,1.21,3359900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.21,1.22,1.21,1.21,594500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.22,1.23,1.19,1.2,4228900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.2,1.2,1.15,1.15,3990300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.15,1.17,1.14,1.15,3262900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.15,1.16,1.11,1.11,3113800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.1,1.17,1.1,1.17,5407500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.17,1.19,1.16,1.17,3752400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.18,1.18,1.16,1.16,1410100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.18,1.21,1.17,1.18,6644000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
