time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1684458000,0.69,0.705,0.64,0.665,216411200,4985000000,1759937000,734806000,129056000.00000001,404997000,963079000,NaN
1684717200,0.665,0.665,0.625,0.635,60540500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684803600,0.63,0.66,0.63,0.64,13664600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684890000,0.64,0.655,0.635,0.635,13306800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684976400,0.635,0.645,0.635,0.64,6786200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685062800,0.64,0.65,0.635,0.645,5644300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685322000,0.645,0.67,0.64,0.65,15907600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685408400,0.65,0.67,0.645,0.66,7732600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685494800,0.66,0.665,0.65,0.655,4960200,4985000000,2008186000,781363000,123004000,423982000,1159421000,NaN
1685581200,0.655,0.665,0.65,0.65,2524800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685667600,0.65,0.665,0.645,0.65,5794500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686013200,0.65,0.655,0.64,0.645,6288600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686099600,0.645,0.65,0.64,0.65,2180900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686186000,0.65,0.655,0.645,0.65,2271800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686272400,0.65,0.65,0.64,0.645,4004200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686531600,0.65,0.65,0.645,0.65,1087900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686618000,0.65,0.65,0.645,0.645,1751600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686704400,0.645,0.65,0.645,0.65,1047300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686790800,0.65,0.65,0.645,0.645,3003000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686877200,0.645,0.66,0.645,0.65,3679900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687136400,0.645,0.65,0.645,0.65,2790500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687222800,0.645,0.655,0.645,0.65,2347600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687309200,0.65,0.655,0.65,0.65,1543300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687395600,0.65,0.665,0.65,0.66,3685800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687482000,0.665,0.73,0.66,0.71,56117200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687741200,0.715,0.725,0.705,0.72,12887200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687827600,0.72,0.725,0.71,0.72,5113000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687914000,0.72,0.745,0.715,0.715,31831700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
