time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,1,1,0.972,0.984,10186500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.984,1.004,0.98,0.984,9994500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.984,0.996,0.972,0.972,4989500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.972,0.98,0.948,0.972,5215500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.968,0.968,0.952,0.956,5158500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.96,0.964,0.912,0.928,11779250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.928,0.948,0.924,0.94,4475000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.944,0.948,0.924,0.94,2358500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.944,0.948,0.916,0.916,4726000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.916,0.932,0.888,0.928,10139500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.948,0.948,0.928,0.932,7559000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.932,0.932,0.908,0.916,2975500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.912,0.928,0.888,0.924,6077750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.928,0.932,0.916,0.92,1198000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.924,0.924,0.908,0.908,1392500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.904,0.916,0.896,0.896,1349000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.892,0.908,0.888,0.892,1801000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.896,0.896,0.884,0.892,2494000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.892,0.912,0.892,0.912,3449000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.908,0.936,0.908,0.932,6635250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.932,0.96,0.932,0.952,7869750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.956,0.96,0.94,0.948,4443500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.948,0.956,0.94,0.944,5764500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.944,0.96,0.944,0.956,4147750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.96,0.964,0.944,0.944,2953750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.956,0.956,0.936,0.944,2637000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.94,0.944,0.912,0.924,4177000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.936,0.936,0.92,0.924,2947250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.924,0.924,0.912,0.924,2738250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.924,0.928,0.916,0.928,2312000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.924,0.94,0.92,0.936,2017000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.936,0.956,0.936,0.94,5648250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,0.944,0.952,0.94,0.952,4035000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,0.956,0.976,0.956,0.964,9040500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,0.968,0.976,0.96,0.968,4140000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,0.968,0.972,0.96,0.964,4594000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,0.972,0.972,0.956,0.96,3649250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,0.976,0.98,0.968,0.968,9546250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,0.976,0.976,0.964,0.968,2421750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,0.964,0.976,0.964,0.972,4665250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,0.972,0.98,0.968,0.98,2940000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,0.98,0.98,0.964,0.968,2597000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,0.976,0.976,0.964,0.972,1349750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,0.968,1.016,0.964,1.008,11288750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.032,1.048,1.032,1.04,15741000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.048,1.06,1.02,1.032,7393500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.044,1.06,1.028,1.052,14351250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.056,1.056,1.044,1.044,3414500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.044,1.048,1.02,1.044,11538250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.048,1.048,1.032,1.04,3474750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.036,1.04,1.024,1.032,2821750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.036,1.036,1.028,1.036,1611750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.04,1.064,1.036,1.064,4476500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.064,1.08,1.064,1.076,7995250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.076,1.08,1.064,1.076,4573500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.076,1.136,1.076,1.124,7583000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.124,1.152,1.12,1.128,5447750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.132,1.144,1.12,1.124,5014750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.128,1.144,1.128,1.132,9890250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.14,1.148,1.14,1.14,2634250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.184,1.208,1.18,1.184,18129750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.192,1.196,1.164,1.164,13011250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.18,1.184,1.172,1.176,11193250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.184,1.224,1.18,1.22,16742750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,1.236,1.268,1.216,1.224,18878500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,1.224,1.244,1.216,1.22,15004250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,1.216,1.224,1.196,1.2,20420500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,1.06,1.2,1.05,1.16,31198900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,1.17,1.18,1.11,1.11,6928100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,1.15,1.17,1.13,1.16,7722600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,1.16,1.17,1.13,1.17,10086500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,1.17,1.26,1.15,1.26,22024000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,1.28,1.34,1.28,1.31,31528700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,1.32,1.36,1.29,1.31,19270500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,1.32,1.34,1.29,1.3,14661100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,1.3,1.31,1.26,1.27,18668600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,1.28,1.32,1.24,1.31,26065800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,1.3,1.3,1.28,1.29,8206100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,1.29,1.51,1.27,1.45,121014400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,1.49,1.52,1.4,1.42,55433900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,1.43,1.44,1.35,1.4,33277300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,1.4,1.41,1.35,1.37,11195700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,1.39,1.41,1.37,1.39,19094500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,1.39,1.39,1.35,1.36,14883000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,1.35,1.37,1.33,1.35,13610400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
