time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1491181200,1.31,1.36,1.27,1.28,145498700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,1.28,1.29,1.27,1.27,27366700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491354000,1.27,1.28,1.25,1.25,13746100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491440400,1.25,1.26,1.23,1.24,16987800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491526800,1.24,1.25,1.21,1.24,15886700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491786000,1.24,1.27,1.23,1.23,9603400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491872400,1.24,1.24,1.22,1.22,6095500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491958800,1.23,1.25,1.22,1.22,15121200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492045200,1.23,1.23,1.21,1.21,4613500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492131600,1.21,1.21,1.2,1.21,5658800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492390800,1.21,1.21,1.2,1.2,2973100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492477200,1.21,1.23,1.2,1.22,5626900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492563600,1.22,1.22,1.2,1.21,2669800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492650000,1.21,1.21,1.2,1.2,2714100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492736400,1.21,1.21,1.19,1.2,6593600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493082000,1.2,1.2,1.19,1.19,2553900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493168400,1.2,1.2,1.19,1.19,2967900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493254800,1.19,1.19,1.17,1.17,2881600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493341200,1.17,1.19,1.17,1.18,2999600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493686800,1.18,1.19,1.16,1.17,3228200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493773200,1.17,1.17,1.15,1.15,5416500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493859600,1.15,1.15,1.13,1.13,3897900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493946000,1.13,1.15,1.13,1.15,1378400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494205200,1.15,1.15,1.13,1.15,1918000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494291600,1.15,1.16,1.14,1.15,1920200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
