time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,24.42,24.42,24.26,24.26,28700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,24.26,24.280001,24.040001,24.219999,1708500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,24.26,24.26,23.719999,23.74,837700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,23.799999,23.84,23.5,23.58,354100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,23.799999,23.799999,23.6,23.6,134300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,23.559999,23.639999,23.200001,23.620001,426400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,23.32,23.6,23.32,23.58,177600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,23.5,23.6,23.379999,23.6,30000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,23.4,23.6,23.4,23.6,718800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,23.32,23.58,23.200001,23.32,9800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,23.200001,23.6,23.200001,23.299999,479900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,23.200001,23.32,23.18,23.18,643100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,23.1,23.200001,22.84,23,575600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,23,23.059999,22.799999,22.82,588100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,22.620001,23.5,22.5,22.559999,62800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,22.9,22.9,22.440001,22.58,164000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,22.559999,23.5,22.5,23.4,60400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,23.299999,23.4,22.879999,23.4,100500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,23.299999,23.52,22.84,23.4,360300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,23.299999,23.299999,23.139999,23.139999,538100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,23.48,23.48,23,23.139999,82700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,23.4,23.4,23.139999,23.139999,40000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,23.379999,23.379999,23.1,23.1,189900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,23.1,23.18,23,23,317700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,23,23,22.9,22.98,237600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,22.98,22.98,22.98,22.98,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,23.200001,23.200001,22.82,22.9,548200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,22.879999,22.9,22.84,22.860001,554300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,22.860001,22.860001,22.84,22.860001,34100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,22.84,22.98,22.84,22.860001,100200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,22.860001,22.940001,22.82,22.860001,437300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,23,23.780001,23,23.200001,26000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,22.9,23.5,22.9,23.48,12800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,23.02,23.5,23.02,23.34,192500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,23.299999,23.48,23.120001,23.32,386800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,23.120001,23.5,23.120001,23.4,17400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,23.120001,23.48,23.120001,23.299999,37900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,23.299999,23.32,23.200001,23.299999,88300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,23.440001,23.459999,23.16,23.299999,232100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,23.4,23.4,23.299999,23.299999,35500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,23.299999,23.4,23.299999,23.32,9200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,23.4,23.4,23.299999,23.32,326600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,23.32,23.34,23.299999,23.299999,247300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,23.299999,23.32,23.280001,23.32,251600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,23.280001,23.34,23.139999,23.299999,280500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,23.299999,23.5,23.280001,23.32,792300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,23.040001,23.1,23.040001,23.1,8100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,23.02,23.299999,23.02,23.219999,56600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
