Ticker,Code,Name,Industry,Sector,Market,Available?
AMBANK,1015,AMMB HOLDINGS BERHAD,Banking,Financial Services,Main Market,1
ASTRO,6399,ASTRO MALAYSIA HOLDINGS BERHAD,Media,Telecommunications & Media,Main Market,1
AXIATA,6888,AXIATA GROUP BERHAD,Telecommunications Service Providers,Telecommunications & Media,Main Market,1
CIMB,1023,CIMB GROUP HOLDINGS BERHAD,Banking,Financial Services,Main Market,1
CDB,6947,CELCOMDIGI BERHAD,Telecommunications Service Providers,Telecommunications & Media,Main Market,1
GENTING,3182,GENTING BERHAD,"Travel, Leisure & Hospitality",Consumer Products & Services,Main Market,1
GENM,4715,GENTING MALAYSIA BERHAD,"Travel, Leisure & Hospitality",Consumer Products & Services,Main Market,1
HAPSENG,3034,HAP SENG CONSOLIDATED BERHAD,Diversified Industrials,Industrial Products & Services,Main Market,1
HLBANK,5819,HONG LEONG BANK BERHAD,Banking,Financial Services,Main Market,1
HLFG,1082,HONG LEONG FINANCIAL GROUP BERHAD,Banking,Financial Services,Main Market,1
IHH,5225,IHH HEALTHCARE BERHAD,Health Care Providers,Health Care,Main Market,1
IOICORP,1961,IOI CORPORATION BERHAD,Plantation,Plantation,Main Market,1
KLCC,5235SS,KLCC PROP&REITS-STAPLED SEC,Real Estate Investment Trusts,Real Estate Investment Trusts,Main Market,1
KLK,2445,KUALA LUMPUR KEPONG BERHAD,Plantation,Plantation,Main Market,1
MAYBANK,1155,MALAYAN BANKING BERHAD,Banking,Financial Services,Main Market,1
MAXIS,6012,MAXIS BERHAD,Telecommunications Service Providers,Telecommunications & Media,Main Market,1
MISC,3816,MISC BERHAD,Transportation & Logistics Services,Transportation & Logistics,Main Market,1
NESTLE,4707,NESTLE (MALAYSIA) BERHAD,Food & Beverages,Consumer Products & Services,Main Market,1
PCHEM,5183,PETRONAS CHEMICALS GROUP BERHAD,Chemicals,Industrial Products & Services,Main Market,1
PETDAG,5681,PETRONAS DAGANGAN BHD,Retailers,Consumer Products & Services,Main Market,1
PETGAS,6033,PETRONAS GAS BERHAD,"Gas, Water & Multi-Utilities",Utilities,Main Market,1
PPB,4065,PPB GROUP BERHAD,Food & Beverages,Consumer Products & Services,Main Market,1
PMETAL,8869,PRESS METAL ALUMINIUM HOLDINGS BERHAD,Metals,Industrial Products & Services,Main Market,1
PBBANK,1295,PUBLIC BANK BERHAD,Banking,Financial Services,Main Market,1
RHBBANK,1066,RHB BANK BERHAD,Banking,Financial Services,Main Market,1
SIME,4197,SIME DARBY BERHAD,Automotive,Consumer Products & Services,Main Market,1
SDG,5285,SD GUTHRIE BERHAD,Plantation,Plantation,Main Market,1
TM,4863,TELEKOM MALAYSIA BERHAD,Telecommunications Service Providers,Telecommunications & Media,Main Market,1
TENAGA,5347,TENAGA NASIONAL BHD,Electricity,Utilities,Main Market,1
