time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,2.415,2.415,2.38,2.385,6584600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,2.37,2.42,2.365,2.405,3539200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,2.41,2.425,2.405,2.42,2897200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,2.405,2.415,2.405,2.41,2903200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,2.415,2.415,2.39,2.4,5119200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,2.4,2.405,2.385,2.395,5034800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,2.39,2.405,2.39,2.4,11460200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,2.405,2.41,2.365,2.375,4364800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,2.37,2.395,2.37,2.375,1581000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,2.395,2.4,2.345,2.365,3407600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,2.37,2.38,2.355,2.36,6089000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.355,2.395,2.355,2.39,11360600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.365,2.4,2.355,2.4,8070000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.395,2.415,2.37,2.375,4594200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.375,2.385,2.35,2.35,2730800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.36,2.39,2.35,2.35,13012800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,2.35,2.36,2.325,2.345,8956600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,2.355,2.355,2.34,2.35,6576000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,2.35,2.41,2.35,2.41,3250400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,2.4,2.425,2.38,2.38,3438600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,2.39,2.435,2.39,2.435,6390800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,2.435,2.45,2.425,2.45,4306600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,2.45,2.455,2.405,2.425,3200600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,2.425,2.425,2.405,2.405,4093600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,2.425,2.425,2.405,2.41,4070600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,2.425,2.425,2.395,2.405,2355200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,2.42,2.425,2.405,2.425,8665800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,2.425,2.425,2.4,2.4,4599800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,2.4,2.415,2.395,2.4,3249200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,2.4,2.405,2.375,2.38,2570200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,2.39,2.41,2.375,2.4,6049000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,2.4,2.41,2.385,2.39,3999400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,2.39,2.41,2.355,2.39,10701000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,2.375,2.4,2.33,2.4,1603400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,2.395,2.45,2.385,2.45,3396400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,2.46,2.465,2.43,2.445,7300000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,2.46,2.475,2.44,2.475,10627600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,2.465,2.475,2.46,2.475,9483200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,2.475,2.485,2.465,2.475,11092800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,2.47,2.485,2.465,2.47,20027400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,2.47,2.475,2.465,2.47,5747600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,2.47,2.475,2.465,2.47,5902800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,2.47,2.47,2.44,2.44,2925400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,2.44,2.47,2.44,2.46,4791800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,2.465,2.47,2.455,2.46,8421200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,2.47,2.475,2.455,2.46,3588000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,2.465,2.465,2.445,2.445,4340400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,2.43,2.48,2.43,2.45,5082600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,2.46,2.47,2.455,2.465,5402800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,2.465,2.465,2.46,2.465,3916400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,2.46,2.465,2.44,2.46,3671800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,2.465,2.47,2.445,2.45,2366000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,2.445,2.455,2.405,2.405,5180600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,2.42,2.455,2.41,2.44,8069200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,2.44,2.485,2.44,2.475,7612600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,2.475,2.48,2.465,2.47,11670400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,2.47,2.475,2.455,2.465,4618600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,2.45,2.47,2.45,2.465,15460400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,2.475,2.485,2.465,2.47,14366800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,2.48,2.485,2.46,2.475,21718800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,2.475,2.48,2.465,2.475,23241200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,2.48,2.49,2.475,2.48,11872400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,2.475,2.485,2.475,2.48,17640200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,2.485,2.49,2.48,2.485,12194200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,2.46,2.485,2.46,2.48,5540000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,2.48,2.485,2.48,2.48,4708400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,2.475,2.48,2.45,2.45,6407400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,2.445,2.465,2.435,2.445,9405800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,2.46,2.46,2.425,2.445,5535200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,2.445,2.445,2.4,2.425,10585200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,2.425,2.455,2.425,2.455,13002200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
