time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,2.57,2.57,2.56,2.56,3000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,2.55,2.55,2.55,2.55,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,2.55,2.56,2.5,2.56,541900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,2.55,2.57,2.54,2.57,222300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,2.57,2.63,2.57,2.63,574200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,2.63,2.63,2.59,2.6,730100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,2.55,2.6,2.55,2.6,41000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,2.59,2.6,2.59,2.6,352200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,2.59,2.6,2.58,2.59,217600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,2.59,2.6,2.51,2.51,307400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,2.53,2.55,2.52,2.52,30300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.5,2.59,2.5,2.58,91100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.58,2.58,2.57,2.58,712800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.58,2.6,2.52,2.52,901900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.55,2.57,2.55,2.56,11200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.56,2.56,2.53,2.53,1700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,2.52,2.57,2.52,2.57,55700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,2.55,2.57,2.52,2.52,271700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,2.52,2.55,2.52,2.52,576400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,2.52,2.53,2.52,2.52,1005800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,2.52,2.52,2.49,2.49,252700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,2.52,2.56,2.52,2.53,1973900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,2.56,2.57,2.52,2.55,1703800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,2.55,2.57,2.55,2.57,917100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,2.57,2.59,2.53,2.58,1439800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
