time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479690000,0.425,0.425,0.4175,0.4175,144800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.425,0.425,0.415,0.4175,1585600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.42,0.42,0.4175,0.42,236000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.425,0.43,0.4225,0.4225,452400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.4275,0.43,0.425,0.4275,760400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.4275,0.4275,0.42,0.42,144800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.42,0.42,0.4175,0.4175,288400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.415,0.415,0.41,0.41,873600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.425,0.425,0.415,0.425,345200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.4275,0.43,0.4225,0.43,904000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.4275,0.4275,0.425,0.4275,485200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.43,0.435,0.425,0.425,748000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.425,0.425,0.4225,0.425,420400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.425,0.425,0.415,0.4225,927600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.425,0.4325,0.425,0.4325,292400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.4325,0.4375,0.4325,0.4325,2080000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.435,0.435,0.4275,0.435,3519200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.435,0.4375,0.425,0.4325,1212800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.43,0.4325,0.4275,0.4275,657200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.4325,0.4325,0.4275,0.43,1112000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.43,0.43,0.425,0.4275,1526000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.4275,0.43,0.425,0.43,288800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.4325,0.4325,0.425,0.425,167600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.4275,0.43,0.425,0.425,90800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.4275,0.43,0.4275,0.4275,64000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.4275,0.4275,0.425,0.425,395200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.425,0.4275,0.425,0.425,1104000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,0.4275,0.4275,0.4225,0.4225,184400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,0.425,0.4275,0.4225,0.4225,257200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,0.425,0.4275,0.4225,0.425,245600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,0.4275,0.43,0.425,0.4275,312000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,0.4275,0.4275,0.425,0.425,417600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,0.425,0.43,0.425,0.4275,3342000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,0.43,0.4325,0.4275,0.4325,644400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,0.4325,0.4375,0.4325,0.4375,1582800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,0.435,0.4375,0.4325,0.4325,1046800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,0.4325,0.4325,0.43,0.43,294400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,0.4325,0.435,0.425,0.425,1783600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,0.4275,0.435,0.425,0.4275,4911600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,0.43,0.4325,0.425,0.425,975600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,0.43,0.43,0.4275,0.4275,712800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,0.4275,0.4275,0.42,0.425,1809600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,0.425,0.425,0.415,0.4175,939200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,0.42,0.42,0.4075,0.4075,2650400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,0.415,0.415,0.4075,0.4125,1356800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
