time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,4.6,4.6,4.49,4.49,6770500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.51,4.6,4.51,4.57,3694000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.57,4.6,4.5,4.5,5127400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.5,4.57,4.48,4.53,3944000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.51,4.58,4.5,4.58,3571000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.54,4.68,4.53,4.68,3828000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.67,4.75,4.65,4.7,4945000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.71,4.74,4.66,4.72,3177100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.69,4.7,4.6,4.63,2199000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.7,4.75,4.7,4.73,4009800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.73,4.88,4.67,4.83,5207400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.85,4.85,4.73,4.77,6286000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.77,4.82,4.5,4.67,12320800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.68,4.75,4.68,4.75,5845900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.75,4.75,4.66,4.7,4480500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.71,4.71,4.6,4.6,8536800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.6,4.64,4.58,4.59,8041100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.61,4.68,4.6,4.68,3525300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.68,4.72,4.67,4.71,3107300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.7,4.78,4.67,4.75,4415700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,4.73,4.75,4.68,4.7,6151300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.68,4.7,4.61,4.64,6009700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.61,4.63,4.6,4.61,6744700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.63,4.7,4.61,4.7,6085600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.67,4.7,4.64,4.7,1942200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,4.66,4.7,4.63,4.65,4949100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,4.64,4.65,4.58,4.6,6135000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.6,4.62,4.55,4.56,3303600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,4.56,4.58,4.54,4.54,2635700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,4.55,4.57,4.53,4.55,4594700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,4.55,4.59,4.53,4.57,5627400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,4.56,4.62,4.54,4.57,3031600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,4.57,4.61,4.53,4.58,4684900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,4.57,4.6,4.56,4.58,2066400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,4.58,4.63,4.57,4.62,3361100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.63,4.64,4.6,4.64,2456200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.65,4.73,4.63,4.73,6680400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.72,4.76,4.69,4.75,3053900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.75,4.85,4.75,4.85,9209800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.83,4.86,4.8,4.85,5176000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,4.85,4.88,4.79,4.82,8436800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,4.8,4.82,4.77,4.79,6961300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,4.78,4.78,4.73,4.73,2880400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,4.73,4.77,4.7,4.74,3925400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.75,4.81,4.74,4.74,3102000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.75,4.83,4.73,4.83,4127600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,4.82,4.82,4.77,4.79,1751100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,4.78,4.81,4.76,4.81,2948500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,4.8,4.9,4.77,4.9,7563000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4.9,4.98,4.86,4.97,5177000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,4.97,5.05,4.93,5.05,5596600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,5.01,5.1,5.01,5.06,4690100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,5.04,5.1,5.01,5.04,7395300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,5.04,5.07,5.02,5.04,5981400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,5.04,5.07,5.02,5.05,4137400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,5.06,5.08,4.98,5,2326800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,5,5.07,4.98,5.06,1865100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,5.06,5.08,5,5.06,9647700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,5.08,5.1,5.05,5.06,5979600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,5.06,5.14,5.05,5.07,5435400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,5.07,5.1,5.02,5.04,5862300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,5.04,5.08,5.02,5.05,9923700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,5.05,5.09,5.05,5.09,10791500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,5.08,5.25,5.08,5.25,10146000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,5.19,5.4,5.18,5.38,9065400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,5.4,5.41,5.2,5.2,10335300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,5.21,5.4,5.16,5.4,15641400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,5.4,5.56,5.35,5.47,14127000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,5.5,5.58,5.23,5.28,13575700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,5.3,5.34,5.25,5.25,3386000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,5.24,5.3,5.21,5.25,6963100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,5.27,5.32,5.25,5.29,6139400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,5.3,5.38,5.3,5.38,6483300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,5.4,5.4,5.29,5.29,5748100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,5.3,5.53,5.3,5.52,7730100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,5.55,5.55,5.44,5.44,12027900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,5.36,5.47,5.36,5.4,4540800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,5.42,5.47,5.35,5.35,5327300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,5.36,5.36,5.27,5.27,6316600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,5.3,5.32,5.24,5.25,3753000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,5.25,5.4,5.24,5.35,11171700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
