time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,10.42,10.5,10.36,10.36,287800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,10.3,10.48,10.3,10.38,90800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,10.4,10.5,10.4,10.5,108300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,10.52,10.56,10.5,10.54,118500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,10.56,10.64,10.56,10.6,53300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,10.44,10.52,10.38,10.48,531500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,10.38,10.64,10.38,10.6,178300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,10.44,10.62,10.44,10.52,258700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,10.46,10.7,10.46,10.54,1078700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,10.44,10.74,10.44,10.7,699700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,10.48,10.68,10.48,10.54,710400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,10.58,10.68,10.58,10.64,777300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,10.64,10.72,10.62,10.7,1961400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,10.7,10.78,10.64,10.72,638100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,10.76,10.86,10.74,10.86,1423500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,10.86,10.9,10.66,10.76,373200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,10.72,10.76,10.72,10.74,224200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,10.76,10.76,10.66,10.68,796800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,10.76,10.92,10.72,10.74,711300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,10.86,10.88,10.74,10.74,1096100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,10.9,10.9,10.74,10.8,1152800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,10.78,10.78,10.72,10.76,351500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,10.7,10.76,10.66,10.66,292200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,10.7,10.72,10.64,10.72,823600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,10.58,10.72,10.58,10.7,254000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,10.7,10.74,10.68,10.72,1348500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,10.72,10.78,10.66,10.66,539200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,10.66,10.68,10.64,10.66,194600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,10.54,10.64,10.54,10.58,709600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,10.6,10.66,10.54,10.54,1514700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,10.54,10.72,10.54,10.6,100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,10.6,10.74,10.58,10.72,1350500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,10.6,10.8,10.58,10.8,2453200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,10.72,10.8,10.7,10.8,912500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,10.82,10.92,10.72,10.88,1119200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,10.88,11.12,10.88,11.06,1994100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,11.02,11.08,11.02,11.06,1206100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,10.9,11.02,10.9,11,678900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,11,11.02,10.9,10.96,1879200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,10.98,11,10.94,11,1125800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,11,11.06,10.9,11,985900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,10.8,11.04,10.8,11.04,1310300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,11,11,10.92,10.94,498000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,10.96,11.02,10.92,11,314200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,11.02,11.02,10.96,10.98,385700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,10.98,11,10.94,11,536000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,10.96,11,10.94,11,275200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,11,11,10.92,11,372900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,11,11.1,10.98,11.1,332200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,11.06,11.14,11.06,11.12,556100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,11.14,11.14,11.06,11.12,293700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,11.1,11.1,11.08,11.08,53800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,11.08,11.1,10.9,10.9,598800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,11.08,11.08,10.94,11,636700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,11,11.34,11,11.3,1220100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,11.3,11.44,11.28,11.44,1296200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,11.4,11.5,11.38,11.44,1341100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,11.44,11.52,11.44,11.5,1545600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,11.5,11.54,11.48,11.52,1124800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,11.5,11.54,11.48,11.54,1320400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,11.52,11.56,11.5,11.52,1071700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,11.52,11.52,11.44,11.48,1208700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,11.5,11.5,11.32,11.38,728200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,11.38,11.38,11.24,11.26,76800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,11.18,11.24,11.06,11.1,431200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,11.1,11.12,11.06,11.08,1644300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,11.08,11.1,11.04,11.08,1334600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,11.26,11.32,11.22,11.3,2795500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,11.2,11.38,11.2,11.34,1314700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,11.32,11.5,11.3,11.44,1635700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,11.46,11.5,11.32,11.48,971600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,11.5,11.54,11.5,11.52,1242400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,11.44,11.54,11.42,11.54,1011700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,11.34,11.5,11.34,11.48,1250800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,11.24,11.54,11.24,11.5,2373600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,11.5,11.5,11.36,11.4,1016500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
