time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,7.69,7.69,7.55,7.55,5009900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,7.58,7.75,7.57,7.68,3268000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,7.7,7.78,7.69,7.74,2660100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,7.74,7.81,7.66,7.75,1845500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,7.75,7.84,7.72,7.84,3138300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,7.84,7.95,7.83,7.95,2957500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,7.97,8.18,7.96,8.16,5946900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,8.15,8.17,8,8.15,3087800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,8.14,8.14,8.05,8.06,1167200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,8.1,8.16,8,8,2270700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,7.98,8.11,7.95,8.09,3852600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,8.09,8.09,7.97,7.97,3989700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,8,8.1,7.7,7.96,7107400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,7.99,8.07,7.95,8.05,1642600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,8.05,8.07,8.04,8.06,1181100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,8.08,8.1,7.91,7.91,6433700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,7.95,7.99,7.92,7.99,3787300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,8,8.03,7.93,8.03,2728600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,8.06,8.08,8.04,8.05,4196800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,8.05,8.05,7.97,8,4182500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,8,8.04,7.96,8.01,4156700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,8.04,8.04,7.99,8.03,4678900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,7.99,8,7.97,8,2569700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,7.99,8.04,7.94,7.94,3049500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,7.99,8,7.93,7.97,2075200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,7.97,7.99,7.81,7.81,2859400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,7.83,7.94,7.83,7.92,2536000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,7.88,7.9,7.77,7.78,2388100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,7.79,7.81,7.72,7.72,2113600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,7.78,7.83,7.73,7.73,1486700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,7.75,7.97,7.75,7.97,2526600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,7.94,7.99,7.87,7.95,2079400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,7.91,8,7.91,8,2228800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,7.95,7.95,7.9,7.9,625800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,7.96,7.96,7.91,7.94,2330200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,7.95,8.08,7.94,8.07,3055500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,8.04,8.15,8.04,8.15,2994400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,8.15,8.16,8.04,8.1,904000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,8.05,8.21,8.05,8.21,2762100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,8.19,8.3,8.16,8.3,2411500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,8.3,8.4,8.25,8.37,5244800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,8.35,8.36,8.22,8.26,3863800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,8.26,8.4,8.26,8.38,12027900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,8.32,8.35,8.25,8.29,1678000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,8.3,8.37,8.270001,8.33,2849900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,8.35,8.35,8.25,8.35,2580600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,8.36,8.37,8.3,8.35,2854300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,8.39,8.4,8.29,8.38,2491900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,8.36,8.42,8.34,8.42,3558100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,8.43,8.44,8.36,8.4,2545400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,8.42,8.53,8.42,8.53,4367000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,8.520001,8.53,8.39,8.4,2278200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,8.39,8.48,8.2,8.2,4854000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,8.2,8.31,8.19,8.25,5749000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,8.24,8.41,8.21,8.41,2277100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,8.41,8.41,8.32,8.37,1803300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,8.37,8.37,8.29,8.37,741600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,8.33,8.51,8.3,8.51,3008100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,8.5,8.68,8.49,8.68,4555000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,8.55,8.72,8.54,8.71,4684900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,8.7,8.7,8.55,8.61,3151600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,8.56,8.8,8.56,8.78,4882000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,8.76,8.8,8.75,8.8,2770600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,8.770001,8.85,8.71,8.83,1823700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,8.83,9.05,8.81,9,5540300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,9,9,8.88,8.89,4074000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,8.89,8.95,8.89,8.94,2498400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,8.94,9.1,8.93,9.08,9781000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,9.1,9.15,9.08,9.11,4139800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,9.12,9.25,9.1,9.17,4467400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,9.16,9.25,9.08,9.25,5861200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,9.15,9.24,9.12,9.12,3178100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,9.14,9.28,9.14,9.28,2405900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,9.18,9.25,9.16,9.16,3616200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,9.16,9.41,9.14,9.41,3429700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,9.3,9.48,9.3,9.48,2767600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,9.45,9.45,9.3,9.37,1736900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,9.37,9.37,9.28,9.29,1957400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,9.29,9.39,9.19,9.3,2909500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,9.3,9.43,9.24,9.43,2467000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,9.43,9.6,9.42,9.6,5078000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,9.58,9.62,9.5,9.62,1217400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,9.57,9.86,9.57,9.85,5397600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,9.85,9.85,9.74,9.79,8110200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,9.79,9.83,9.71,9.83,2326100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,9.83,9.9,9.68,9.8,5811100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,9.7,9.78,9.65,9.75,3791900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,9.75,9.75,9.66,9.69,3976800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,9.69,9.69,9.64,9.67,2278900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,9.67,9.68,9.5,9.5,2296900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,9.56,9.75,9.55,9.75,3812600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,9.73,9.73,9.6,9.67,2638900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,9.68,9.7,9.6,9.68,3813800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,9.64,9.66,9.53,9.59,4078400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491181200,9.59,9.63,9.5,9.61,1156700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,9.56,9.62,9.51,9.6,2640300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491354000,9.6,9.6,9.43,9.46,4379700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491440400,9.48,9.54,9.3,9.33,4321600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491526800,9.36,9.42,9.34,9.4,5962400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491786000,9.4,9.43,9.270001,9.270001,2612100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491872400,9.29,9.42,9.26,9.32,4113100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491958800,9.38,9.55,9.32,9.51,7329500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492045200,9.5,9.5,9.33,9.36,4565900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492131600,9.34,9.34,9.25,9.25,1871300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492390800,9.24,9.3,9.24,9.26,1452800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492477200,9.29,9.49,9.28,9.49,6112900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492563600,9.46,9.7,9.42,9.7,5746600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492650000,9.69,9.71,9.62,9.7,2640900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492736400,9.79,9.79,9.67,9.74,3100600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493082000,9.8,9.86,9.770001,9.86,5486200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493168400,9.88,10,9.76,9.96,9792600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493254800,9.96,9.96,9.8,9.83,2345000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493341200,9.8,9.89,9.76,9.84,4194700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493686800,9.89,10,9.85,10,7207700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493773200,10,10,9.86,9.95,3679800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493859600,9.94,9.94,9.75,9.82,2877900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493946000,9.82,9.83,9.75,9.8,1717600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494205200,9.75,9.84,9.75,9.8,1001200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494291600,9.8,9.84,9.66,9.72,2591100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494464400,9.8,9.86,9.73,9.73,5634200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494550800,9.78,9.89,9.76,9.89,3822300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494810000,9.86,9.96,9.86,9.96,7441900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494896400,9.96,9.97,9.91,9.95,2929700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494982800,9.96,9.97,9.88,9.97,3074400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495069200,9.9,9.92,9.7,9.74,4106100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495155600,9.73,9.95,9.7,9.95,1194100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495414800,9.85,9.9,9.770001,9.8,2036200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495501200,9.87,9.89,9.73,9.770001,2116300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495587600,9.8,9.94,9.770001,9.92,4932600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495674000,9.85,9.99,9.8,9.99,4547300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495760400,9.97,9.97,9.87,9.94,2078900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496019600,9.9,9.94,9.73,9.73,1722900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496106000,9.84,9.92,9.8,9.9,3240700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496192400,9.91,9.98,9.87,9.97,7466400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496278800,9.94,10,9.86,10,5285800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496365200,9.96,10,9.92,9.99,3789900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496624400,9.94,9.99,9.89,9.96,2870000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496710800,9.98,9.98,9.93,9.95,4960800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496797200,9.98,9.98,9.74,9.81,3223500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496883600,9.770001,9.9,9.75,9.75,2784400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496970000,9.770001,9.86,9.75,9.76,2332300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497315600,9.8,9.81,9.65,9.65,5864800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497402000,9.770001,9.89,9.73,9.86,3491800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497488400,9.86,9.88,9.770001,9.83,2936600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497574800,9.8,9.84,9.72,9.72,2794800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497834000,9.72,9.79,9.72,9.75,1343000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497920400,9.72,9.73,9.63,9.64,1419400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498006800,9.66,9.69,9.56,9.58,2389800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498093200,9.65,9.78,9.64,9.76,2165000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498179600,9.78,9.78,9.64,9.72,1361500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498611600,9.770001,9.770001,9.5,9.5,3548500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498698000,9.55,9.63,9.49,9.49,1620900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498784400,9.5,9.55,9.28,9.41,5499300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499043600,9.44,9.47,9.39,9.47,2341200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499130000,9.49,9.49,9.33,9.34,3016400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499216400,9.35,9.41,9.32,9.38,1602000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499302800,9.39,9.41,9.28,9.31,2990500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499389200,9.3,9.3,9.16,9.19,2820800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499648400,9.21,9.24,8.98,9.03,3598800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499734800,9.04,9.11,9,9.08,4469600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499821200,9.020001,9.19,9.020001,9.12,5523100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499907600,9.19,9.37,9.13,9.24,4211000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499994000,9.25,9.55,9.25,9.55,2807200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500253200,9.56,9.65,9.5,9.54,2766700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
