time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1560387600,0.15875,0.195,0.15875,0.185,770885600,2504000000,145775000,62603000,11644000,58727000,82414000,NaN
1560474000,0.18875,0.21375,0.18875,0.2025,448420800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560733200,0.20875,0.225,0.2075,0.225,311852400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560819600,0.23125,0.25,0.2225,0.2475,382703600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560906000,0.24875,0.2525,0.23625,0.24125,224693200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560992400,0.23875,0.2675,0.22875,0.265,417378800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561078800,0.2625,0.2725,0.255,0.255,171228000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561338000,0.2575,0.27,0.24625,0.26,101675200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561424400,0.26,0.2625,0.24875,0.25,50586800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561510800,0.24875,0.2575,0.245,0.2475,56008400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561597200,0.24625,0.255,0.245,0.24875,43125200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561683600,0.25,0.25,0.2425,0.2425,32756000,2504000000,262075000,96681000,8771000,51004000,164669000,NaN
1561942800,0.2475,0.28,0.2475,0.28,167362800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562029200,0.28,0.295,0.275,0.2775,119429600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562115600,0.2775,0.2875,0.2775,0.285,42949600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562202000,0.2825,0.2875,0.2775,0.2825,30166000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562288400,0.285,0.2975,0.28,0.285,83435200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562547600,0.285,0.2875,0.2625,0.2725,56754000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562634000,0.2725,0.2775,0.265,0.27,22991200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562720400,0.27,0.2775,0.2675,0.275,36275200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562806800,0.275,0.285,0.2725,0.2825,54762800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562893200,0.28,0.29,0.27,0.2725,51494400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563152400,0.275,0.2825,0.27,0.2725,16246400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563238800,0.2725,0.2775,0.2675,0.2725,18730000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563325200,0.2725,0.2725,0.2675,0.27,14898000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563411600,0.2675,0.27,0.2575,0.2625,17892800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563498000,0.2625,0.2675,0.26,0.2675,11329200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
