time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,7.7,7.81,7.66,7.8,1546800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,7.71,7.85,7.71,7.8,1214300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,7.81,7.82,7.77,7.8,1108500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,7.79,7.82,7.75,7.81,529400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,7.75,7.99,7.75,7.82,1107400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,7.88,7.91,7.8,7.84,1238600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,7.85,7.94,7.83,7.84,1401900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,7.86,7.88,7.84,7.84,609100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,7.87,7.88,7.78,7.78,212400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,7.8,7.94,7.8,7.88,482700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,7.9,7.99,7.85,7.94,478400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,8,8,7.86,7.86,588800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,7.86,7.99,7.71,7.94,5335500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,7.87,7.9,7.87,7.88,132700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,7.9,7.9,7.82,7.82,375400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,7.89,7.96,7.77,7.95,1989800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,7.74,7.78,7.67,7.75,839900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,7.76,7.78,7.68,7.78,887800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,7.82,7.87,7.76,7.87,738400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,7.86,7.91,7.78,7.9,631300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,7.9,8.09,7.87,8.09,1284800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,8.07,8.1,7.98,8.09,675000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,8.03,8.12,7.98,8.1,1252600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,8.1,8.16,8.03,8.11,3917200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,8.1,8.14,8.05,8.1,294700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,8.1,8.21,8.07,8.14,274700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,8.15,8.2,8.15,8.16,220800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,8.13,8.2,8.13,8.18,470200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,8.14,8.18,8.11,8.18,294000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,8.2,8.8,8.2,8.7,741300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,8.68,8.93,8.67,8.86,1037200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,8.86,8.87,8.53,8.53,1069100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,8.51,8.86,8.49,8.86,1855200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,8.7,8.86,8.68,8.86,174100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,8.8,8.93,8.8,8.9,169200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,8.88,9,8.88,8.89,396300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,8.9,9.42,8.89,8.9,1891300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,8.9,9.020001,8.85,8.85,1754400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,8.85,9.06,8.79,9,1356700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,9,9,8.84,8.89,578300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,8.88,8.96,8.86,8.89,489400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,8.9,8.93,8.85,8.92,209900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,8.93,8.95,8.82,8.83,132700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,8.9,8.94,8.83,8.92,166300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,8.86,8.96,8.86,8.91,115500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,8.92,8.95,8.86,8.95,300500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,8.89,8.91,8.8,8.8,419600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,8.9,8.94,8.81,8.87,335800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,8.93,8.93,8.75,8.86,477800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,8.97,8.97,8.83,8.84,327200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,8.83,8.94,8.83,8.86,512000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,8.9,8.9,8.71,8.8,99700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,8.78,8.82,8.67,8.7,502800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,8.7,8.79,8.63,8.63,414800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,8.69,8.69,8.53,8.68,955400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,8.7,8.770001,8.68,8.770001,349200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,8.8,8.8,8.71,8.78,834100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,8.78,9,8.75,9,288100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,9,9.19,9,9.12,674000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,9.19,9.25,9.18,9.21,349000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,9.17,9.18,9.04,9.11,301100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,9.17,9.24,9.08,9.13,442100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,9.03,9.18,9.020001,9.18,159900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,9.19,9.19,8.98,8.98,276100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,9.04,9.06,8.98,8.98,155400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,9.020001,9.05,8.99,8.99,304200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,9.04,9.05,8.99,9.01,252700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,9.05,9.05,8.98,9.020001,251900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,9.05,9.05,9,9.01,135400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,9.05,9.05,9,9.020001,125100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,9.020001,9.04,8.98,9.04,760100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,9,9.020001,8.96,8.96,254300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,9,9.020001,8.93,8.97,647000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,8.96,9,8.91,8.93,514500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,8.92,9.06,8.92,9.06,182700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,9.1,9.18,9.020001,9.08,185200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,9.1,9.18,9.01,9.020001,167900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,9,9.09,9,9.06,151100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,9.03,9.17,9,9.1,258200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,9.05,9.18,9.05,9.12,134000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,9.12,9.19,9.1,9.11,573600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,9.05,9.12,9.04,9.12,50100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,9.19,9.19,9.020001,9.1,620000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
