time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,2.485,2.515,2.405,2.405,6636800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,2.39,2.45,2.39,2.435,3404400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,2.435,2.445,2.405,2.43,2198400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,2.435,2.44,2.4,2.43,1092200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,2.435,2.46,2.425,2.44,3354400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,2.445,2.46,2.415,2.425,1456800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,2.425,2.455,2.425,2.45,3255600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,2.45,2.45,2.425,2.43,959800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,2.425,2.435,2.42,2.425,2229000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,2.425,2.425,2.4,2.41,3604400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,2.395,2.4,2.36,2.36,4727600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.36,2.375,2.34,2.35,3077200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.355,2.45,2.34,2.45,5202200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.45,2.45,2.4,2.41,2976600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.4,2.4,2.375,2.385,2034400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.395,2.395,2.37,2.375,1547200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,2.355,2.365,2.295,2.325,5058600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,2.34,2.36,2.295,2.31,2617000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,2.345,2.375,2.32,2.375,390800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,2.33,2.375,2.33,2.365,2052600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,2.345,2.375,2.345,2.37,2397000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,2.345,2.4,2.33,2.4,616200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,2.345,2.445,2.345,2.445,936600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,2.405,2.45,2.375,2.38,2518200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,2.375,2.385,2.365,2.375,220400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,2.38,2.4,2.375,2.375,594400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,2.385,2.4,2.375,2.38,1693200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,2.38,2.38,2.315,2.35,658800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
