time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,16.860001,16.860001,16.700001,16.76,17600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,16.68,16.68,16.08,16.18,70100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,16.26,16.26,16.040001,16.120001,59600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,16.18,16.280001,15.7,15.82,156800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,15.8,16.120001,15.56,16,66700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,16,16.16,15.82,16.1,13800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,16.1,16.1,15.82,15.84,73000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,15.84,16.02,15.84,16,847700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,16,16,15.82,15.82,41300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,15.8,15.84,15.7,15.72,156700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,15.72,15.9,15.7,15.7,599600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,15.74,15.76,15.74,15.76,7600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,15.72,15.86,15.72,15.76,225400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,15.74,15.84,15.7,15.78,824600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,15.8,16,15.76,15.84,164900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,16,16.040001,15.6,15.88,184800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,15.9,16.120001,15.9,16.02,82200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,16.18,16.58,16.1,16.5,143900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,16.5,16.9,16.5,16.860001,83800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
