time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,3.05,3.05,3.03,3.04,52300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,3.05,3.09,3.05,3.08,63400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,3.08,3.08,3.04,3.04,67800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,3.04,3.04,3.02,3.04,19200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,3.03,3.03,3.02,3.02,7900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,3.02,3.04,3.02,3.04,23000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,3.05,3.05,3.03,3.03,50200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,3.03,3.05,3.03,3.04,79300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,3.04,3.05,3.03,3.04,75900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,3.06,3.06,2.99,2.99,199700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,3.03,3.03,2.92,2.96,189100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.92,2.93,2.79,2.8,348800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.8,2.92,2.79,2.8,296000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.74,2.75,2.69,2.69,422400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.69,2.72,2.69,2.69,303700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.71,2.71,2.56,2.57,317200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,2.56,2.6,2.2,2.23,1322400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,2.24,2.34,2.22,2.23,1466800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,2.27,2.27,2.24,2.24,612300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,2.27,2.34,2.25,2.3,344700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,2.36,2.38,2.33,2.34,263500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,2.35,2.35,2.33,2.35,156900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,2.35,2.35,2.32,2.34,138600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,2.34,2.38,2.34,2.35,142500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,2.35,2.36,2.29,2.29,401600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,2.29,2.35,2.11,2.11,1375200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,2.11,2.14,2.08,2.09,1826500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,2.09,2.1,1.99,2,3244400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,2.05,2.05,2.02,2.03,822100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,2.06,2.21,2.05,2.07,2070800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,2.08,2.14,2.08,2.12,1107000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,2.12,2.13,2.06,2.08,835300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,2.08,2.09,2.02,2.03,1806300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,2.03,2.07,2.02,2.02,1093600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,2.04,2.08,2.03,2.07,822000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,2.08,2.22,2.07,2.2,1870500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,2.19,2.48,2.19,2.43,3112700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,2.45,2.62,2.45,2.61,2618400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,2.63,2.68,2.43,2.49,2732600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,2.5,2.55,2.43,2.47,1950800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,2.48,2.54,2.46,2.51,889400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,2.51,2.56,2.49,2.5,864900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,2.48,2.49,2.44,2.44,457300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,2.44,2.47,2.4,2.45,700200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,2.43,2.53,2.43,2.52,624700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,2.54,2.82,2.54,2.78,3682900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,2.81,2.92,2.71,2.78,3925600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,2.8,2.83,2.7,2.77,858000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,2.76,2.79,2.74,2.74,460900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,2.74,2.74,2.65,2.69,690000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,2.68,2.72,2.66,2.7,447400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,2.7,2.77,2.7,2.75,124000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,2.75,2.87,2.75,2.82,597800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,2.86,2.91,2.83,2.85,808000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,2.85,2.85,2.8,2.83,361000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,2.82,2.9,2.82,2.86,494700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,2.86,2.97,2.86,2.97,1124400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,3.01,3.14,3.01,3.08,1774100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,3.1,3.15,3.09,3.1,869300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,3.13,3.14,3.08,3.13,607200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,3.1,3.15,3.1,3.13,782100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,3.13,3.15,3.12,3.12,401500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,3.12,3.14,3.06,3.07,760100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,3.1,3.1,2.98,2.98,1074000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,2.97,2.97,2.83,2.84,1677000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,2.84,2.95,2.84,2.94,450400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,2.94,3,2.94,2.99,571800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,3.05,3.23,3.05,3.19,2617200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,3.24,3.3,3.1,3.12,1608500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,3.18,3.24,3.17,3.23,824000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,3.23,4.1,3.18,3.82,5597200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,3.87,3.9,3.7,3.72,1730100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,3.75,3.9,3.74,3.8,1418300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,3.78,3.83,3.75,3.78,905300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,3.8,3.81,3.77,3.77,927400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,3.77,3.8,3.75,3.79,421700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,3.8,3.8,3.7,3.74,501200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,3.72,3.72,3.61,3.64,975200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,3.64,3.64,3.5,3.54,840400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,3.53,3.53,3.38,3.5,875000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,3.5,3.69,3.5,3.66,672600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,3.66,3.75,3.6,3.66,645200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,3.68,3.72,3.66,3.7,448400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,3.72,3.72,3.6,3.65,463300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,3.65,3.67,3.55,3.6,267000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
