time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478653200,0.066667,0.066667,0.061458,0.0625,2150402,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,0.0625,0.069792,0.0625,0.065625,3327843,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,0.064583,0.065625,0.063542,0.065625,663360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,0.0625,0.063542,0.0625,0.0625,881760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.063542,0.064583,0.059375,0.061458,1286881,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.060417,0.060417,0.060417,0.060417,514560,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.060417,0.061458,0.058333,0.060417,418080,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.059375,0.060417,0.059375,0.060417,62400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.058333,0.060417,0.058333,0.060417,574560,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.059375,0.060417,0.059375,0.060417,144960,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.063542,0.063542,0.063542,0.063542,480,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.060417,0.060417,0.059375,0.060417,435360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.059375,0.060417,0.059375,0.060417,575040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.060417,0.064583,0.059375,0.064583,696960,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.0625,0.063542,0.060417,0.063542,480000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.0625,0.0625,0.058333,0.060417,1741921,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.060417,0.060417,0.060417,0.060417,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.060417,0.060417,0.054167,0.05625,1779361,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.055208,0.05625,0.053125,0.055208,2986562,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.054167,0.055208,0.054167,0.054167,1464001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.053125,0.053125,0.052083,0.053125,1718401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.052083,0.053125,0.052083,0.053125,1062721,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.052083,0.053125,0.05,0.053125,1711201,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.053125,0.053125,0.052083,0.053125,701280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.051042,0.051042,0.05,0.051042,2232482,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.051042,0.052083,0.05,0.052083,1348801,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.05,0.05,0.048958,0.05,2161442,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.05,0.051042,0.05,0.05,899520,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.05,0.05,0.05,0.05,617760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.051042,0.054167,0.051042,0.053125,3430083,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.054167,0.054167,0.051042,0.051042,662400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.05,0.052083,0.05,0.052083,533280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
