time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,0.7375,0.7375,0.7,0.7,13636640,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,0.6875,0.7,0.65,0.675,17341840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.675,0.7,0.675,0.6875,10002480,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.7,0.725,0.6875,0.6875,15274120,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.6875,0.6875,0.6375,0.65,12660160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.65,0.6625,0.6375,0.65,8232200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.675,0.7125,0.6625,0.7125,8649880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.725,0.7375,0.6875,0.7,13114080,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.7,0.7125,0.7,0.7,3586000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.7,0.7,0.675,0.675,2752960,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.675,0.7625,0.675,0.75,31734600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.7375,0.75,0.7,0.7,15567280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.725,0.725,0.675,0.6875,6981680,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.6875,0.7,0.6625,0.6875,6535440,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.725,0.75,0.725,0.7375,25642720,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.75,0.7625,0.7375,0.75,18999520,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.75,0.8,0.75,0.775,21395840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.775,0.7875,0.7625,0.7625,8882840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.7625,0.775,0.7375,0.75,10376840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.75,0.7625,0.7375,0.7625,4681480,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.7625,0.775,0.75,0.775,9136640,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.8,0.8375,0.7875,0.8,26632400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.8,0.8875,0.8,0.8625,36781800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.85,0.9,0.8375,0.9,25019880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.9125,0.925,0.8875,0.8875,18196160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.9,0.975,0.9,0.9625,38460360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.9625,0.9875,0.925,0.95,19297920,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.9625,0.9875,0.9375,0.9625,24601360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.95,0.9625,0.9125,0.9125,19880320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.9125,0.925,0.9,0.9125,11844760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.9125,0.9625,0.9125,0.9375,14573840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.95,1,0.9375,1,35297400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.9875,1.0375,0.975,1.025,29393320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.025,1.0375,1.0125,1.025,13165440,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.0375,1.1,1.0375,1.0875,23421400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.0875,1.1125,1.075,1.1125,21443280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
