time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,13,13.06,12.84,13.04,1526000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,12.94,13.02,12.86,12.86,1147700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,12.88,12.9,12.8,12.88,1896000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,12.9,12.94,12.82,12.9,732500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,12.94,13.02,12.82,12.96,614000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,13.04,13.06,12.96,13.06,772700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,12.94,13.18,12.94,13.12,992700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,13.2,13.28,13.12,13.2,557700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,13.22,13.26,13.18,13.22,359600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,13.28,13.28,13.2,13.24,315700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,13.26,13.28,13.22,13.26,609200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,13.26,13.38,13.26,13.28,961700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,13.28,13.38,13.28,13.3,3425200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,13.3,13.34,13.24,13.3,401800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,13.32,13.32,13.28,13.32,277100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,13.22,13.42,13.22,13.42,298300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,13.12,13.48,13.12,13.48,863900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,13.48,13.5,13.24,13.34,451800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,13.4,13.5,13.3,13.34,783300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,13.46,13.46,13.2,13.3,286000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,13.3,13.5,13.3,13.34,910700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,13.34,13.38,13.24,13.36,834700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,13.2,13.36,13.18,13.34,906700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,13.34,13.34,13.22,13.22,465600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,13.16,13.3,13.16,13.28,319300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,13.32,13.34,13.24,13.26,1301700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,13.26,13.3,13.22,13.24,874900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,13.2,13.26,13.16,13.16,790100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,13.12,13.12,13.08,13.08,1191200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,13.08,13.1,13.02,13.06,216200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,13.04,13.12,13.04,13.08,1122900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,13.08,13.38,13.04,13.38,363100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,13.22,13.5,13.16,13.5,440800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,13.4,13.4,13.24,13.3,1026000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,13.44,13.46,13.26,13.3,138100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,13.42,13.5,13.32,13.36,529400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,13.28,13.46,13.28,13.36,602400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,13.36,13.4,13.28,13.28,211900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,13.44,13.48,13.26,13.3,499400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,13.34,13.38,13.34,13.36,388300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,13.4,13.5,13.38,13.4,514300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,13.46,13.48,13.18,13.18,595000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,13.2,13.22,13.1,13.1,301000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,13.26,13.36,13.14,13.24,1125300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,13.34,13.36,13.22,13.3,556400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,13.3,13.34,13.22,13.32,299000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
