time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,14.92,14.96,14.88,14.9,331700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,14.86,15,14.86,14.9,627000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,15,15.16,14.9,15.16,859400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,15.16,15.16,14.92,14.92,55400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,14.94,15.06,14.86,14.96,412300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,14.98,15.36,14.96,15.36,219600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,15.32,15.36,15.1,15.1,417800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,15.1,15.14,14.88,15.1,166400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,14.96,15.06,14.92,14.96,151100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,14.96,15.04,14.92,14.96,175200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,14.98,15.06,14.94,14.96,62500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,14.92,15.2,14.92,14.94,135500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,14.92,15.14,14.72,15,736600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,15.08,15.08,14.72,14.92,47400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,15.1,15.14,14.98,15,178100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,15.14,15.2,14.92,15.02,90200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,14.84,14.94,14.82,14.84,251600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,15.08,15.08,14.76,14.8,65100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,14.96,15.26,14.88,15.2,330800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,15.2,15.4,14.96,15.18,431400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,15.22,15.24,15.12,15.2,283000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
