time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,9.9,9.9,9.69,9.79,14500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,9.85,9.9,9.85,9.85,29700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,9.86,9.9,9.85,9.9,87900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,9.9,9.9,9.8,9.9,41800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,9.9,9.9,9.82,9.9,4600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,9.9,9.94,9.9,9.94,67300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,9.97,9.98,9.94,9.96,31200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,9.95,9.95,9.67,9.8,5800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,9.82,9.84,9.59,9.78,54900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,9.79,9.79,9.63,9.7,14400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,9.76,9.76,9.65,9.74,25900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,9.65,9.73,9.51,9.73,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,9.5,9.82,9.5,9.74,166400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,9.88,9.95,9.78,9.93,190800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,9.7,9.88,9.7,9.86,130400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,9.92,9.94,9.85,9.91,78200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,9.91,9.91,9.91,9.91,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,9.67,9.8,9.67,9.8,5100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,9.66,9.78,9.66,9.78,5700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,9.75,9.76,9.72,9.73,100700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,9.71,9.75,9.71,9.75,9700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,9.8,9.8,9.7,9.75,56200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,9.69,9.74,9.57,9.59,20400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,9.7,9.7,9.59,9.59,88400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,9.6,9.6,9.29,9.36,352100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,9.46,9.56,9.36,9.4,15100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,9.4,9.41,9.39,9.4,325000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,9.42,9.42,9.39,9.39,45900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,9.4,9.4,9.29,9.38,195700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,9.38,9.38,9.28,9.37,372400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,9.36,9.38,9.34,9.35,114800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,9.32,9.32,9.21,9.270001,159100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,9.3,9.35,9.270001,9.35,171000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,9.32,9.4,9.18,9.4,177900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,9.4,9.5,9.4,9.5,16600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,9.5,9.75,9.5,9.74,54100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,9.78,9.79,9.61,9.73,58800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,9.79,9.79,9.32,9.6,28600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,9.6,9.6,9.37,9.37,84600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,9.45,9.45,9.32,9.4,122000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,9.44,9.45,9.35,9.38,120700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,9.5,9.5,9.38,9.4,62500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,9.5,9.5,9.36,9.36,28600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,9.43,9.51,9.42,9.48,139800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,9.65,9.7,9.41,9.43,11800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,9.37,9.6,9.37,9.6,45800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,9.66,9.66,9.6,9.65,38900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,9.67,9.7,9.66,9.66,5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,9.6,9.6,9.47,9.47,5500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,9.5,9.51,9.5,9.5,15000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,9.54,9.54,9.5,9.5,4600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,9.5,9.6,9.5,9.6,19400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,9.6,9.6,9.6,9.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,9.6,9.65,9.6,9.64,63100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,9.68,9.69,9.66,9.68,29900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,9.7,9.78,9.7,9.770001,31600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,9.770001,9.770001,9.6,9.76,7400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,9.63,9.75,9.54,9.68,69200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,9.69,9.69,9.520001,9.58,125400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,9.6,9.6,9.5,9.6,253700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,9.6,9.6,9.49,9.53,146200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,9.520001,9.59,9.45,9.58,98400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,9.59,9.59,9.5,9.55,24600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,9.58,9.6,9.5,9.59,30200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,9.7,9.7,9.520001,9.520001,105200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,9.6,9.6,9.49,9.5,281100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,9.42,9.58,9.42,9.53,23900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,9.46,9.520001,9.46,9.520001,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,9.5,9.65,9.5,9.520001,13300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,9.6,9.6,9.5,9.5,32400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,9.6,9.6,9.48,9.56,10500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,9.56,9.57,9.55,9.55,38400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,9.59,9.59,9.54,9.54,70700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,9.54,9.54,9.520001,9.54,45000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,9.57,9.57,9.520001,9.56,33000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,9.55,9.55,9.54,9.54,21000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,9.5,9.55,9.5,9.51,11100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,9.51,9.55,9.51,9.54,26100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,9.5,9.5,9.45,9.45,5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,9.56,9.56,9.46,9.5,3800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,9.5,9.55,9.48,9.55,26700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,9.55,9.57,9.54,9.55,112200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,9.55,9.55,9.5,9.5,8300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,9.5,9.5,9.45,9.45,33400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,9.45,9.520001,9.44,9.520001,26100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,9.54,9.54,9.43,9.520001,19100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,9.51,9.51,9.47,9.47,9400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,9.47,9.47,9.41,9.47,22000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,9.47,9.47,9.41,9.41,14800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,9.5,9.5,9.35,9.49,50400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,9.49,9.49,9.4,9.49,22800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,9.5,9.5,9.38,9.38,27900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,9.5,9.520001,9.36,9.520001,32800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,9.520001,9.520001,9.45,9.520001,19000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,9.55,9.55,9.32,9.37,149300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491181200,9.55,9.55,9.2,9.3,273500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,9.36,9.5,9.3,9.48,986300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491354000,9.48,9.5,9.46,9.5,46200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491440400,9.55,9.55,9.35,9.5,2400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491526800,9.5,9.5,9.35,9.4,21800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491786000,9.5,9.5,9.48,9.5,1700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491872400,9.5,9.520001,9.4,9.5,107200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491958800,9.48,9.5,9.48,9.5,33200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492045200,9.5,9.5,9.5,9.5,3000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492131600,9.49,9.49,9.36,9.49,2800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492390800,9.5,9.58,9.5,9.57,36800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492477200,9.58,9.62,9.57,9.62,78100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492563600,9.62,9.7,9.62,9.68,23000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492650000,9.69,9.69,9.69,9.69,7700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492736400,9.69,9.82,9.69,9.82,53600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493082000,9.82,9.9,9.66,9.75,61500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493168400,9.9,10.06,9.86,10.06,243500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493254800,10.2,10.2,10,10.1,17500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493341200,10.18,10.2,10,10.1,25400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493686800,10.1,10.24,10.1,10.22,54600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493773200,10.36,10.38,10.16,10.24,76500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493859600,10.3,10.3,10,10.2,126700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493946000,10.24,10.28,10.2,10.24,21300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494205200,10.2,10.26,10.14,10.22,46500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494291600,10.28,10.28,10.22,10.28,52000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494464400,10.28,10.38,10.22,10.36,161100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494550800,10.14,10.14,10,10.02,46200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494810000,10.1,10.1,10.02,10.04,40700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494896400,10.04,10.08,10,10.02,48400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494982800,10.06,10.06,9.94,10.02,104800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495069200,10.04,10.04,9.95,10.04,42400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495155600,10.04,10.04,9.96,10,11200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495414800,10.04,10.06,9.97,10.04,53200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495501200,10.06,10.06,10,10.04,29300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495587600,10.04,10.06,10.02,10.06,28700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495674000,10,10.06,9.94,9.95,31900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495760400,10,10,9.92,9.99,26200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496019600,10.02,10.02,9.82,9.9,38300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496106000,10,10,9.75,9.85,34700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496192400,9.85,10.3,9.71,10.3,145300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496278800,10.08,10.08,9.87,9.98,62100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496365200,10,10,9.85,9.9,98300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496624400,9.9,9.9,9.85,9.9,23300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496710800,9.99,9.99,9.88,9.9,12700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496797200,9.95,9.96,9.85,9.89,77200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496883600,9.94,9.94,9.85,9.9,11700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496970000,9.94,9.94,9.85,9.94,30800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497315600,9.95,9.95,9.88,9.88,32700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497402000,9.9,9.9,9.85,9.9,35800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
