time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1480899600,1.59,1.6,1.57,1.58,1019300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.58,1.6,1.56,1.57,6108200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.57,1.58,1.55,1.55,4846500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.55,1.57,1.52,1.57,6621200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.54,1.57,1.54,1.56,602800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.57,1.57,1.53,1.55,3026500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.54,1.58,1.54,1.54,8360200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.54,1.58,1.54,1.57,5546500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.57,1.59,1.57,1.57,5186000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.57,1.58,1.57,1.57,2226300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.58,1.58,1.57,1.57,3403000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.57,1.58,1.57,1.58,1116000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.58,1.6,1.58,1.6,1160500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.59,1.59,1.58,1.59,87800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.59,1.61,1.59,1.61,286900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.6,1.63,1.6,1.62,1887400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.63,1.64,1.62,1.63,2279700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.63,1.64,1.61,1.61,3723900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.61,1.63,1.6,1.6,876000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.62,1.65,1.62,1.63,5008200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.63,1.64,1.62,1.63,3727800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.64,1.64,1.61,1.61,250500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.62,1.66,1.61,1.65,6374900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.64,1.67,1.64,1.66,2461200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.66,1.71,1.65,1.71,4855400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.7,1.71,1.68,1.71,2637300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.71,1.71,1.68,1.71,2427400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.71,1.71,1.68,1.69,1293800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.69,1.71,1.69,1.7,1788500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.71,1.71,1.69,1.7,880900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.69,1.73,1.69,1.72,4168600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.72,1.73,1.7,1.72,1572900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.71,1.72,1.7,1.72,5635100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.72,1.77,1.72,1.77,3471100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.77,1.77,1.75,1.75,1104200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.75,1.76,1.74,1.75,5314600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.74,1.75,1.72,1.75,3722500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.75,1.76,1.72,1.75,6574000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.76,1.76,1.74,1.75,10053600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.76,1.76,1.74,1.75,3698900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.75,1.75,1.73,1.74,6790900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.74,1.76,1.74,1.76,3711600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.73,1.73,1.69,1.7,602100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.69,1.7,1.67,1.7,3479600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.68,1.7,1.68,1.69,217200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.69,1.71,1.69,1.69,2207200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.69,1.7,1.65,1.66,3519900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.66,1.68,1.65,1.67,6293100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.67,1.69,1.66,1.67,2607100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,1.67,1.67,1.63,1.64,6481800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,1.64,1.66,1.64,1.66,3069300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,1.65,1.67,1.64,1.66,4567100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,1.66,1.67,1.65,1.66,5924500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,1.67,1.7,1.67,1.67,2233700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,1.67,1.68,1.63,1.65,3337200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,1.65,1.66,1.64,1.66,5239500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,1.65,1.66,1.64,1.65,980200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,1.66,1.7,1.65,1.7,4517500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,1.68,1.72,1.66,1.7,5578600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,1.7,1.78,1.7,1.78,6158200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,1.75,1.79,1.74,1.75,8504400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,1.75,1.75,1.72,1.73,4635500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,1.73,1.73,1.69,1.7,4363100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,1.71,1.73,1.69,1.71,4820200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,1.71,1.72,1.69,1.69,5938000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,1.7,1.72,1.7,1.71,5510600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,1.7,1.71,1.68,1.69,5059000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,1.7,1.73,1.68,1.68,6040700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,1.68,1.69,1.65,1.67,42336000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,1.67,1.68,1.65,1.65,1296500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,1.66,1.7,1.66,1.69,3522200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,1.69,1.7,1.68,1.68,1541600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,1.69,1.7,1.67,1.67,2527600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,1.68,1.68,1.66,1.68,1432900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,1.68,1.72,1.68,1.72,1585800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,1.72,1.72,1.7,1.7,326700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,1.7,1.73,1.69,1.71,1922200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,1.71,1.71,1.68,1.69,613400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,1.69,1.69,1.68,1.69,417500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491181200,1.7,1.7,1.69,1.7,657800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,1.69,1.72,1.69,1.7,1570100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
