time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,6.31,6.31,6.15,6.25,8590100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,6.25,6.34,6.24,6.33,2859000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,6.3,6.36,6.3,6.35,6694700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,6.32,6.37,6.3,6.35,3761800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,6.32,6.41,6.32,6.39,5242300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,6.39,6.42,6.38,6.42,2192400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,6.44,6.48,6.38,6.42,4316300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,6.5,6.5,6.4,6.43,5784500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,6.4,6.43,6.38,6.39,2725700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,6.4,6.4,6.31,6.39,5455100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,6.45,6.45,6.38,6.41,7908500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,6.34,6.42,6.34,6.41,4699400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,6.42,6.6,6.35,6.6,17062300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,6.55,6.57,6.41,6.42,4555800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,6.45,6.45,6.37,6.38,4833900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,6.4,6.42,6.34,6.4,3644500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,6.38,6.43,6.36,6.39,3233100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,6.37,6.43,6.37,6.4,2803500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,6.42,6.45,6.38,6.4,2903900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,6.35,6.41,6.35,6.4,1443100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,6.42,6.42,6.37,6.42,3739300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,6.37,6.42,6.37,6.42,1451700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,6.43,6.43,6.32,6.39,3545300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,6.36,6.41,6.36,6.38,5699700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,6.4,6.43,6.36,6.38,3884100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,6.37,6.41,6.35,6.38,4879100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,6.42,6.42,6.35,6.36,4415700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
