time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,3.14,3.14,3.07,3.1,8295700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,3.1,3.23,3.1,3.2,5021200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,3.2,3.26,3.19,3.26,2275800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,3.25,3.27,3.23,3.26,2534700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,3.26,3.27,3.22,3.27,3344500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,3.26,3.28,3.24,3.27,3450500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,3.27,3.3,3.25,3.3,1872700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,3.29,3.33,3.22,3.32,2325400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,3.32,3.32,3.24,3.26,1807100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,3.26,3.3,3.24,3.3,659000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,3.29,3.34,3.23,3.23,2597000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,3.23,3.31,3.22,3.25,4605100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,3.25,3.3,3.23,3.23,5466400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,3.24,3.29,3.24,3.29,1645400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,3.3,3.33,3.27,3.27,5939500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,3.28,3.29,3.26,3.27,2005500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,3.27,3.3,3.26,3.28,2880800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,3.28,3.3,3.27,3.28,3123900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,3.29,3.4,3.28,3.4,3322600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,3.35,3.38,3.28,3.3,3492800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,3.3,3.4,3.3,3.37,5643500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,3.37,3.38,3.32,3.34,7189200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,3.35,3.36,3.32,3.34,5878700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,3.35,3.35,3.25,3.25,8696700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,3.25,3.32,3.25,3.28,4140400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,3.29,3.3,3.26,3.28,3177600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,3.27,3.32,3.23,3.24,9480300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,3.24,3.26,3.19,3.22,6676900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,3.21,3.23,3.17,3.18,3718400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
