time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,1.099999,1.106666,1.093332,1.106666,8494208,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.106666,1.109999,1.096666,1.106666,5599505,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.099999,1.136666,1.096666,1.133332,9619509,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.119999,1.136666,1.119999,1.129999,4701904,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.129999,1.129999,1.119999,1.126666,3577203,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.129999,1.136666,1.126666,1.133332,2922002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.133332,1.139999,1.086666,1.099999,6870606,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.139999,1.179999,1.126666,1.126666,25450525,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.136666,1.149999,1.129999,1.143332,12221112,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.143332,1.149999,1.129999,1.143332,9328809,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.143332,1.149999,1.136666,1.146666,7226707,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.149999,1.149999,1.133332,1.136666,7594207,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.143332,1.149999,1.123332,1.136666,15546615,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.133332,1.136666,1.119999,1.123332,9823509,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.129999,1.133332,1.099999,1.103332,7373707,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.116666,1.116666,1.099999,1.106666,11262611,NaN,NaN,NaN,NaN,NaN,NaN,NaN
