time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478653200,4.47,4.48,4.35,4.36,9447100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,4.38,4.47,4.37,4.39,7447900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,4.37,4.4,4.34,4.36,6610000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,4.33,4.38,4.32,4.36,3290400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.34,4.42,4.34,4.38,2705000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.36,4.42,4.36,4.41,2762600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.38,4.4,4.36,4.38,5464900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.38,4.39,4.35,4.37,3996100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.38,4.38,4.35,4.36,4760000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.39,4.39,4.35,4.36,3637300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.4,4.42,4.37,4.4,4630000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.36,4.42,4.36,4.38,1798900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.36,4.41,4.35,4.36,1319400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.36,4.39,4.35,4.36,3063300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.38,4.38,4.34,4.36,8081100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.35,4.38,4.35,4.35,7517800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.35,4.48,4.35,4.36,3077900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.36,4.39,4.35,4.38,1895900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.35,4.4,4.35,4.37,4894500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.37,4.39,4.36,4.38,2129600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.39,4.39,4.36,4.38,4587700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.4,4.41,4.36,4.4,2802000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.37,4.4,4.36,4.39,2319000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,4.4,4.45,4.38,4.4,4349400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.45,4.45,4.39,4.4,4171500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.38,4.41,4.36,4.4,3189100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.41,4.48,4.38,4.43,8214600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.41,4.41,4.36,4.38,2495200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,4.37,4.44,4.36,4.39,3436500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,4.41,4.41,4.38,4.38,3784500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.37,4.41,4.37,4.39,2403900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
