time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1670893200,1.52,1.55,1.35,1.38,130765600,1028000000,201517000,127844000,18576000,30775000,73673000,NaN
1670979600,1.4,1.48,1.37,1.39,47595500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1671066000,1.39,1.43,1.38,1.38,14500500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1671152400,1.37,1.4,1.36,1.38,9004400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1671411600,1.38,1.43,1.37,1.4,14593100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1671498000,1.4,1.44,1.37,1.38,20439200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1671584400,1.39,1.4,1.37,1.38,8410800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1671670800,1.38,1.39,1.37,1.38,4404900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1671757200,1.38,1.4,1.35,1.39,10992000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1672102800,1.39,1.41,1.38,1.39,8783400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1672189200,1.38,1.39,1.36,1.38,7008400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1672275600,1.39,1.42,1.37,1.41,8675600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1672362000,1.42,1.44,1.4,1.42,15476600,1028000000,393275000,107451000,21192000,35767000,285824000,NaN
1672707600,1.43,1.49,1.42,1.45,20901000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1672794000,1.43,1.47,1.42,1.44,7090200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1672880400,1.45,1.51,1.43,1.5,21819700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1672966800,1.5,1.56,1.48,1.49,26787200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1673226000,1.51,1.52,1.46,1.5,8182600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
