time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,1.0126,1.0126,0.990098,1.0081,1327868,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,0.994598,0.994598,0.981097,0.981097,1411637,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.981097,0.999099,0.981097,0.981097,440178,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.976597,0.990098,0.976597,0.990098,359075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.990098,0.990098,0.976597,0.985598,95768,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.976597,0.985598,0.967596,0.981097,229977,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.967596,0.981097,0.967596,0.981097,23331,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.972096,0.976597,0.967596,0.967596,225533,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.958595,0.967596,0.958595,0.958595,198424,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.954094,0.958595,0.949594,0.954094,227977,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.945094,0.985598,0.945094,0.981097,1839150,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.981097,0.990098,0.963095,0.963095,2122234,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.958595,0.963095,0.954094,0.963095,251308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.958595,0.963095,0.945094,0.954094,350631,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.954094,0.954094,0.931592,0.949594,745703,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.940593,0.945094,0.940593,0.945094,112433,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.936093,0.940593,0.922591,0.936093,115099,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.936093,0.958595,0.936093,0.958595,332189,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.958595,0.958595,0.936093,0.936093,716372,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.940593,0.949594,0.940593,0.945094,453288,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.945094,0.945094,0.918091,0.945094,294859,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.927092,0.945094,0.927092,0.940593,53105,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.931592,0.940593,0.927092,0.927092,896577,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.922591,0.936093,0.918091,0.927092,393294,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.927092,0.931592,0.918091,0.931592,169094,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.931592,0.931592,0.91359,0.927092,175315,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.91359,0.940593,0.91359,0.936093,247308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.936093,0.949594,0.936093,0.945094,500394,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.940593,0.945094,0.936093,0.936093,569054,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.931592,0.940593,0.931592,0.936093,730371,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.936093,0.949594,0.936093,0.945094,283527,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.954094,0.958595,0.945094,0.958595,526614,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.949594,0.963095,0.945094,0.963095,550167,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,0.963095,0.981097,0.958595,0.976597,628159,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,0.976597,0.999099,0.976597,0.994598,697930,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.003599,1.003599,0.990098,0.999099,287304,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,0.999099,0.999099,0.990098,0.999099,307302,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,0.999099,1.003599,0.999099,0.999099,252197,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,0.999099,1.017101,0.999099,1.0081,544390,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.0081,1.0081,0.990098,0.990098,537946,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,0.985598,0.985598,0.981097,0.981097,70881,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,0.981097,0.990098,0.981097,0.981097,39773,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,0.999099,0.999099,0.981097,0.999099,162206,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,0.999099,1.0081,0.999099,0.999099,385072,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,0.999099,1.003599,0.990098,1.003599,344854,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,0.999099,1.003599,0.994598,1.003599,69993,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.003599,1.003599,0.999099,1.003599,273306,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,0.999099,1.021601,0.999099,1.021601,763257,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.021601,1.039603,1.021601,1.035102,1642059,NaN,NaN,NaN,NaN,NaN,NaN,NaN
