time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,7.7,7.71,7.67,7.68,3457200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,7.7,7.7,7.64,7.64,574100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,7.55,7.57,7.48,7.54,3222900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,7.54,7.57,7.45,7.56,1385600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,7.55,7.63,7.55,7.62,574200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,7.65,7.65,7.57,7.61,726600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,7.56,7.7,7.56,7.65,587600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,7.65,7.74,7.65,7.74,236300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,7.74,7.76,7.62,7.75,41500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,7.76,7.83,7.75,7.75,49400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,7.84,7.85,7.68,7.75,896600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,7.75,7.76,7.72,7.75,2433400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,7.68,7.7,7.61,7.62,175500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,7.69,7.75,7.65,7.75,1375400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,7.75,7.76,7.62,7.76,184300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,7.67,7.75,7.66,7.75,2176300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,7.75,7.76,7.7,7.75,2181900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,7.78,7.78,7.75,7.75,1300600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,7.76,7.8,7.66,7.8,598200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,7.79,7.84,7.75,7.81,182600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,7.75,7.81,7.74,7.81,1399900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,7.79,7.81,7.69,7.78,3276700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,7.71,7.81,7.71,7.8,1980500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,7.8,7.8,7.75,7.8,339000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,7.72,7.82,7.72,7.8,2507900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,7.82,7.83,7.79,7.81,1437500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,7.81,7.89,7.81,7.81,233200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,7.76,7.79,7.71,7.71,104700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,7.7,7.7,7.61,7.61,320900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,7.62,7.64,7.61,7.61,102900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,7.64,7.8,7.64,7.8,439800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,7.8,8,7.8,8,954600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,7.95,8.3,7.78,8.3,2538800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,8,8.020001,7.86,7.89,363200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,7.85,7.94,7.81,7.83,311900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,7.85,7.91,7.83,7.83,107300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,7.83,7.89,7.8,7.81,1929100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,7.8,7.83,7.8,7.82,140700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,7.83,7.9,7.8,7.84,314000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,7.83,7.83,7.8,7.81,1140600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,7.9,7.95,7.82,7.83,306300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,7.82,7.91,7.81,7.81,379500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,7.85,7.85,7.81,7.81,1985100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,7.82,7.85,7.8,7.83,1824300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,7.83,7.83,7.8,7.82,214200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,7.81,7.84,7.8,7.81,282500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,7.82,7.88,7.82,7.82,236300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,7.87,7.87,7.8,7.81,760800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,7.81,7.83,7.81,7.81,846800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,7.82,7.85,7.81,7.82,1239200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,7.88,7.89,7.82,7.84,204000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,7.84,7.85,7.81,7.84,2146100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,7.89,7.99,7.81,7.99,1547200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,7.88,7.91,7.84,7.87,814600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,7.87,7.87,7.85,7.86,916100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,7.84,7.84,7.78,7.82,385300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,7.85,7.85,7.8,7.81,124200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,7.79,7.82,7.78,7.81,1890900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,7.81,7.85,7.8,7.82,2229100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,7.9,7.9,7.81,7.81,2056200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,7.78,7.85,7.76,7.84,994300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,7.89,7.9,7.81,7.81,728800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,7.84,7.85,7.81,7.82,195900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,7.82,7.84,7.8,7.81,2334800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,7.81,7.81,7.78,7.8,3140400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,7.84,7.84,7.71,7.71,2569300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,7.72,7.8,7.72,7.77,459200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,7.78,7.8,7.77,7.78,2221400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,7.72,7.8,7.72,7.79,1312900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,7.8,7.81,7.75,7.75,1445300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
