time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478480400,1.6475,1.6825,1.6275,1.665,242000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478566800,1.6875,1.7175,1.675,1.7175,292400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478653200,1.7125,1.7125,1.6875,1.705,1902000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,1.6975,1.7175,1.6975,1.6975,537600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,1.715,1.7425,1.7,1.73,8244400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.73,1.735,1.71,1.7125,7384000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.7125,1.725,1.69,1.6975,6849200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.6975,1.7425,1.6975,1.7,8736000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.7,1.735,1.7,1.735,72000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.74,1.75,1.71,1.75,3068800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.75,1.75,1.7325,1.75,623200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.75,1.75,1.7075,1.7225,1441200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.69,1.6925,1.6475,1.65,8492000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.665,1.665,1.6525,1.6625,1708400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.6625,1.675,1.6625,1.675,238800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.665,1.6775,1.665,1.675,440800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.67,1.675,1.67,1.6725,683600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.67,1.6725,1.67,1.67,1069200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.695,1.695,1.6525,1.6525,254000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.6525,1.6525,1.6275,1.6425,2525200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.635,1.635,1.62,1.6225,635200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.6075,1.6075,1.5975,1.6,2318400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.5875,1.625,1.5875,1.61,1013600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.645,1.6475,1.61,1.6475,858000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.6475,1.6475,1.615,1.625,1071200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.625,1.6275,1.6175,1.6175,2597200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.605,1.63,1.6,1.605,428400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.61,1.61,1.595,1.6075,143200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.6075,1.6125,1.605,1.61,2766400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.6075,1.6125,1.6,1.6,562400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.6,1.6025,1.5875,1.5875,557600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
