time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479862800,1.055,1.0625,1.05,1.0625,1265600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.055,1.055,1.0475,1.05,472400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.045,1.0525,1.0425,1.045,692800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.0425,1.045,1.0375,1.045,978400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.0425,1.0475,1.0425,1.0475,1207600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.0475,1.055,1.045,1.05,5438800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.045,1.05,1.04,1.0475,2844400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.05,1.05,1.04,1.0425,215200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.05,1.05,1.0425,1.0475,467200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.05,1.05,1.0425,1.0475,4980800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.0475,1.05,1.0425,1.0475,2919200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.0525,1.0625,1.04,1.045,3777600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.0475,1.0475,1.0425,1.0475,2111200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.0475,1.0475,1.0375,1.0425,4932400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.0425,1.045,1.025,1.025,3344000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.0275,1.04,1.025,1.0375,10177200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.0375,1.04,1.03,1.03,705200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.0325,1.04,1.03,1.0375,2062400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.04,1.0425,1.0375,1.04,1391600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.04,1.0425,1.0375,1.0425,104800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.0375,1.04,1.0375,1.0375,118000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.035,1.0425,1.035,1.0375,131600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
