time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1499734800,6.5,6.53,6.33,6.38,45477400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499821200,6.33,6.48,6.33,6.48,5888400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499907600,6.47,6.48,6.4,6.4,7053600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499994000,6.4,6.42,6.37,6.41,2427500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500253200,6.41,6.41,6.38,6.4,3769600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500339600,6.41,6.43,6.4,6.41,954800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500426000,6.43,6.43,6.4,6.41,588500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500512400,6.42,6.43,6.38,6.39,1818200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500598800,6.38,6.4,6.33,6.33,1736700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500858000,6.35,6.35,6.21,6.27,3655700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500944400,6.27,6.27,6.23,6.24,844600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501030800,6.24,6.24,6.19,6.21,317600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501117200,6.21,6.24,6.07,6.16,1578800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501203600,6.13,6.15,6.11,6.13,1109000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501462800,6.13,6.13,4.65,4.7,32376900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501549200,4.76,4.78,4.14,4.28,55170200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501635600,4.35,4.65,4.25,4.42,30758300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501722000,4.47,4.53,4.39,4.4,16515600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501808400,4.42,4.47,4.37,4.43,6023800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502067600,4.44,4.45,4.34,4.34,8415400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502154000,4.34,4.48,4.27,4.42,6431400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502240400,4.41,4.47,4.39,4.43,2554700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502326800,4.43,4.46,4.35,4.37,2814200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502413200,4.33,4.41,4.31,4.36,1844800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502672400,4.36,4.7,4.36,4.7,12827200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502758800,4.78,5.25,4.74,5.12,26935800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502845200,5.16,5.22,5.04,5.06,7500200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502931600,5.07,5.49,5.04,5.44,15376800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1503018000,5.35,5.45,5.32,5.35,7492900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1503277200,5.35,5.4,5.27,5.35,4246600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1503363600,5.35,5.47,5.31,5.35,4267900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
