time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1557968400,1.12,1.19,1.08,1.1,215399100,3650000000,4954884000,3109314000,141686000,1506371000,1355304000,NaN
1558054800,1.1,1.11,1.06,1.07,24341800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1558400400,1.06,1.06,1.02,1.05,24564700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1558573200,1.05,1.05,1.03,1.03,34708600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1558659600,1.03,1.04,1.02,1.04,13081500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1558918800,1.06,1.07,1.04,1.04,17318300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559005200,1.04,1.04,1.02,1.03,5600500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559091600,1.02,1.04,1.01,1.03,11450400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559178000,1.02,1.03,1.02,1.02,6875000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559264400,1.03,1.06,1.03,1.04,10371400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559523600,1.03,1.04,1.03,1.04,4164600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559610000,1.04,1.04,1.03,1.03,972600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559869200,1.04,1.06,1.03,1.05,6058900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560128400,1.05,1.1,1.05,1.09,19954200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560214800,1.1,1.1,1.08,1.09,11398100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560301200,1.09,1.1,1.07,1.07,4251600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560387600,1.08,1.08,1.05,1.07,5626800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560474000,1.06,1.07,1.04,1.04,1875200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
