time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478653200,1.55,1.55,1.5,1.51,1017800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,1.51,1.55,1.51,1.52,365800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,1.53,1.55,1.51,1.55,965900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.53,1.54,1.51,1.53,1358800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.53,1.54,1.52,1.54,1041200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.54,1.56,1.53,1.56,253700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.55,1.55,1.53,1.53,1533600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.53,1.56,1.52,1.56,1413600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.56,1.56,1.53,1.56,144200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.56,1.57,1.53,1.53,3062200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.54,1.58,1.52,1.53,1254800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.55,1.55,1.53,1.54,475600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.53,1.54,1.52,1.52,1151800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.53,1.54,1.51,1.53,1018000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.52,1.53,1.46,1.47,1448300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.46,1.46,1.34,1.34,3567400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.36,1.39,1.36,1.38,1974000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.39,1.41,1.38,1.4,759400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.41,1.43,1.39,1.42,1901600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.42,1.43,1.41,1.42,683600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.43,1.44,1.41,1.44,621400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.45,1.46,1.43,1.45,733500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.46,1.46,1.42,1.45,733300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.44,1.46,1.43,1.46,1067400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.45,1.48,1.42,1.43,1017800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.43,1.45,1.41,1.43,786800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.44,1.51,1.44,1.51,556400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.49,1.49,1.45,1.47,300200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
