time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,1.36,1.38,1.34,1.35,1973700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.37,1.44,1.36,1.43,6711700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.45,1.51,1.44,1.48,11172100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.47,1.47,1.42,1.45,2090500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.45,1.46,1.4,1.42,9473700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.42,1.43,1.39,1.4,2028100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.39,1.43,1.38,1.41,5082800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.42,1.42,1.4,1.42,5360800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.41,1.41,1.38,1.38,2835700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.37,1.4,1.36,1.37,1015000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.38,1.38,1.35,1.35,1701300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.36,1.37,1.35,1.37,894400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.38,1.38,1.34,1.35,5737900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.35,1.35,1.28,1.3,6756000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.3,1.32,1.28,1.3,6400100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.3,1.31,1.26,1.27,4321700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.28,1.34,1.26,1.33,5301300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.34,1.35,1.3,1.32,3799500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.32,1.36,1.31,1.35,2112500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.36,1.38,1.31,1.33,2725700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.32,1.35,1.32,1.34,3994500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.34,1.36,1.34,1.35,2054200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.35,1.36,1.33,1.35,1552700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.35,1.41,1.35,1.4,3040000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.4,1.41,1.38,1.4,1021400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.4,1.43,1.4,1.43,1841800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.41,1.42,1.38,1.39,1919500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.39,1.41,1.39,1.4,137900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.39,1.39,1.38,1.38,196400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.38,1.39,1.37,1.39,604000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.38,1.38,1.37,1.37,344000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.37,1.38,1.37,1.37,446800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.37,1.42,1.36,1.37,5611400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.37,1.37,1.33,1.34,1430900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.34,1.36,1.33,1.35,1248300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.35,1.39,1.34,1.39,1217900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.38,1.38,1.34,1.35,1885000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.36,1.36,1.34,1.34,1139400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.34,1.35,1.34,1.35,232500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.35,1.36,1.34,1.36,1227000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
