time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,5.76,5.79,5.71,5.78,2675700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,5.72,5.81,5.72,5.79,1536800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,5.8,5.81,5.69,5.76,2165600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,5.81,5.82,5.73,5.73,1051200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,5.72,5.79,5.68,5.79,2536500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,5.71,5.8,5.71,5.79,934900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,5.81,5.84,5.76,5.84,2440000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,5.83,5.83,5.77,5.8,3673300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,5.75,5.81,5.75,5.78,753300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,5.75,5.99,5.75,5.86,1305100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,5.81,6,5.78,6,1111500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,6,6,5.9,5.91,2814900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,5.89,5.97,5.5,5.97,11936700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,5.9,5.95,5.82,5.9,5117600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,5.9,5.96,5.88,5.96,733800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,6.06,6.12,5.97,6,5947700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,6,6.01,5.96,6,6001000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,6.03,6.07,5.96,6.07,2876700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,6.09,6.09,6,6.05,1462500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,6.06,6.09,6.01,6.09,1082600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,6.04,6.08,5.97,6,1528300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,6.01,6.01,5.93,6,1054600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,6,6,5.91,5.96,1982600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,5.93,6,5.89,6,2457000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,5.91,5.99,5.91,5.95,566600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,5.98,6,5.92,6,2250200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,5.98,6.05,5.95,5.96,1272600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,5.94,6.02,5.93,6.02,1552700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,6,6,5.92,5.95,721300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,5.95,5.96,5.88,5.91,884500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,5.93,6.1,5.93,6.1,683100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,6.09,6.09,5.99,6.02,1503700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,5.98,6.06,5.95,5.98,1247100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,5.99,6.04,5.95,6,299900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,6.04,6.08,5.96,6.07,639500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,6.02,6.15,6.02,6.15,1670800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,6.15,6.25,6.12,6.2,1570500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,6.15,6.15,6.01,6.01,492400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,6.08,6.23,6,6.18,5479100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,6.18,6.18,6.11,6.12,899800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,6.14,6.18,6.11,6.12,2987900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,6.15,6.18,6.13,6.16,1564800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,6.11,6.18,6.02,6.02,2863500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,6.03,6.15,6.03,6.07,1415000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,6.1,6.18,6.05,6.05,816800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,6.1,6.1,5.99,6,1516800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,6,6.02,5.97,5.99,1533000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,6,6.15,5.98,5.99,1022000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,6.01,6.06,6.01,6.05,1535500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,6.06,6.12,6.02,6.05,864300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,6.07,6.13,6.01,6.02,2727300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,6.02,6.1,5.96,5.96,2514700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,5.99,6.23,5.98,6.15,2933200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,6.14,6.19,6.03,6.11,6006200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,6.15,6.16,6.06,6.11,4447900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,6.06,6.21,6.06,6.2,2617700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,6.15,6.25,6.15,6.25,2574900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,6.25,6.3,6.25,6.29,4783700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,6.35,6.37,6.29,6.35,5108200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,6.35,6.43,6.33,6.41,8312500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,6.41,6.44,6.35,6.42,5587000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,6.42,6.45,6.38,6.41,5362500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,6.39,6.42,6.39,6.41,6259000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,6.42,6.45,6.42,6.43,4207900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,6.43,6.45,6.41,6.44,1988900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,6.44,6.46,6.41,6.45,3723900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,6.45,6.47,6.4,6.44,6224700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,6.44,6.44,6.38,6.43,965500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,6.4,6.4,6.25,6.29,3717600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,6.34,6.34,6.28,6.32,3408300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,6.21,6.34,6.21,6.31,4944900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,6.28,6.32,6.28,6.31,887700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,6.32,6.34,6.3,6.32,5127900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,6.26,6.34,6.26,6.33,1691900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,6.23,6.38,6.23,6.38,1206400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,6.4,6.41,6.37,6.4,1489600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,6.4,6.43,6.38,6.4,2826700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,6.4,6.42,6.4,6.41,2972200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,6.42,6.42,6.37,6.42,2268800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,6.37,6.45,6.37,6.43,4565000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,6.44,6.49,6.34,6.43,5284500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,6.39,6.44,6.34,6.37,2294400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,6.39,6.44,6.34,6.4,2665600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,6.44,6.44,6.33,6.33,8690700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,6.33,6.38,6.28,6.36,1080100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,6.38,6.42,6.35,6.38,4589400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,6.37,6.43,6.26,6.43,4030500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,6.45,6.45,6.37,6.37,6726300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,6.33,6.4,6.33,6.4,3182900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,6.42,6.43,6.37,6.42,513800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,6.44,6.48,6.41,6.44,3795200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,6.46,6.46,6.41,6.44,3516500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,6.45,6.48,6.44,6.47,4188900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,6.4,6.45,6.4,6.44,3548900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491181200,6.36,6.44,6.36,6.44,580700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,6.42,6.44,6.36,6.4,1104400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491354000,6.44,6.44,6.35,6.4,3667500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491440400,6.45,6.45,6.35,6.4,2569700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491526800,6.4,6.4,6.33,6.4,3298800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491786000,6.33,6.4,6.31,6.34,3169600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491872400,6.34,6.44,6.33,6.37,2099900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491958800,6.37,6.42,6.37,6.41,3091800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492045200,6.38,6.43,6.38,6.42,5167800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492131600,6.41,6.43,6.41,6.42,525500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492390800,6.41,6.44,6.41,6.43,4431800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492477200,6.41,6.47,6.41,6.46,5070500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492563600,6.39,6.45,6.39,6.44,4503900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492650000,6.38,6.45,6.38,6.39,5779400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492736400,6.44,6.44,6.39,6.44,1266400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493082000,6.45,6.46,6.38,6.45,4728600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493168400,6.43,6.45,6.42,6.43,4876600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493254800,6.43,6.46,6.4,6.44,2419400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493341200,6.46,6.48,6.38,6.38,4836300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493686800,6.42,6.45,6.39,6.44,2590800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493773200,6.44,6.48,6.38,6.46,3391900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493859600,6.48,6.48,6.45,6.48,1901700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493946000,6.48,6.51,6.48,6.5,4452300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494205200,6.5,6.54,6.42,6.54,1449400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494291600,6.54,6.56,6.54,6.55,2241600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494464400,6.59,6.6,6.55,6.56,4624900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494550800,6.58,6.58,6.56,6.57,2560200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494810000,6.56,6.58,6.43,6.57,4001500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494896400,6.57,6.57,6.49,6.55,4864300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494982800,6.47,6.56,6.47,6.52,4118200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495069200,6.45,6.51,6.44,6.49,1522100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495155600,6.49,6.51,6.49,6.51,1151500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495414800,6.53,6.58,6.51,6.52,1285800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495501200,6.53,6.53,6.42,6.42,1395400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495587600,6.45,6.47,6.41,6.45,1469700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495674000,6.43,6.47,6.4,6.45,2725500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495760400,6.41,6.47,6.4,6.46,666900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496019600,6.45,6.45,6.4,6.43,1309200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496106000,6.41,6.41,6.39,6.4,707700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496192400,6.43,6.43,6.1,6.15,6671300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496278800,6.12,6.18,6.05,6.15,2155300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496365200,6.13,6.19,6.11,6.19,2364800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496624400,6.19,6.21,6.15,6.18,3731800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496710800,6.18,6.19,6.16,6.19,3404300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496797200,6.18,6.23,6.18,6.2,1892700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496883600,6.2,6.21,6.17,6.19,1045000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496970000,6.12,6.19,6.12,6.19,2592000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497315600,6.14,6.18,6.08,6.14,2843800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497402000,6.16,6.18,6.08,6.08,2170500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497488400,6.1,6.12,6.01,6.01,1341000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497574800,6.04,6.05,5.88,5.88,2718600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497834000,5.88,5.88,5.88,5.88,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497920400,5.6,5.68,5.53,5.62,17575000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498006800,5.61,5.61,5.53,5.59,8252900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498093200,5.59,5.6,5.57,5.59,5396900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498179600,5.6,5.65,5.59,5.64,8551100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498611600,5.65,5.65,5.6,5.61,5979900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498698000,5.6,5.61,5.6,5.61,3690300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498784400,5.6,5.61,5.55,5.55,10802100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499043600,5.58,5.58,5.49,5.51,15287700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499130000,5.51,5.53,5.48,5.49,17963700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499216400,5.49,5.57,5.49,5.5,6157200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499302800,5.52,5.53,5.49,5.5,17600400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499389200,5.5,5.51,5.48,5.49,2623300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499648400,5.49,5.52,5.48,5.51,2680800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499734800,5.51,5.54,5.5,5.5,3211900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499821200,5.5,5.51,5.49,5.51,2650400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
