time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1441587600,8.3,8.39,8.22,8.38,12944700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1441674000,8.39,8.64,8.32,8.58,8018200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1441760400,8.59,8.65,8.520001,8.62,12794000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1441846800,8.54,8.57,8.46,8.55,16986900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1441933200,8.48,8.59,8.4,8.41,12128700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1442192400,8.45,8.55,8.41,8.51,22631700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1442278800,8.55,8.72,8.55,8.57,18416800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1442451600,8.65,8.72,8.56,8.64,28420100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1442538000,8.66,8.71,8.63,8.7,12540900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1442797200,8.65,8.65,8.4,8.41,19818000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1442883600,8.46,8.520001,8.4,8.520001,10311700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1442970000,8.44,8.44,8.35,8.41,20221400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1443142800,8.4,8.41,8.34,8.41,12444700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1443402000,8.41,8.41,8.35,8.4,10089200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1443488400,8.35,8.4,8.3,8.39,14092600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1443574800,8.41,8.58,8.35,8.56,15758300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1443661200,8.51,8.61,8.47,8.55,7902200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1443747600,8.53,8.55,8.42,8.45,9882100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444006800,8.5,8.6,8.46,8.6,9825700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444093200,8.63,8.69,8.58,8.69,11096700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444179600,8.69,8.73,8.62,8.71,19914800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444266000,8.48,8.53,8.43,8.520001,14571500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444352400,8.520001,8.62,8.51,8.6,16698100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444611600,8.56,8.57,8.45,8.51,15099300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444698000,8.520001,8.63,8.51,8.62,15456700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444870800,8.520001,8.67,8.520001,8.61,13890200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1444957200,8.63,8.64,8.6,8.62,6999300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445216400,8.6,8.67,8.56,8.64,8791400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445302800,8.57,8.64,8.56,8.61,8689500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445389200,8.6,8.65,8.520001,8.62,6355600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445475600,8.6,8.65,8.57,8.59,7834900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445562000,8.63,8.64,8.58,8.59,6473200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445821200,8.57,8.6,8.49,8.57,6316700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445907600,8.55,8.6,8.51,8.55,8673600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1445994000,8.55,8.56,8.47,8.47,8785300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446080400,8.47,8.5,8.3,8.31,17091800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446166800,8.33,8.39,8.26,8.26,17877800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446426000,8.270001,8.34,8.25,8.270001,10404200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446512400,8.29,8.33,8.26,8.31,11002700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446598800,8.32,8.36,8.31,8.35,10403200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446685200,8.34,8.38,8.3,8.38,6506400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1446771600,8.37,8.4,8.33,8.35,5993400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447030800,8.35,8.39,8.32,8.39,5322000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447203600,8.33,8.36,8.22,8.22,12933800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447290000,8.22,8.37,8.22,8.36,6701800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447376400,8.38,8.38,8.26,8.3,6761900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447635600,8.26,8.32,8.26,8.3,9557500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447722000,8.33,8.42,8.24,8.24,11876400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447808400,8.25,8.28,8.18,8.18,7322900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447894800,8.25,8.25,8.18,8.24,5436700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1447981200,8.24,8.32,8.23,8.32,3608400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448240400,8.33,8.42,8.3,8.4,6674100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448326800,8.4,8.42,8.34,8.34,5410400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448413200,8.33,8.41,8.33,8.41,10302700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448499600,8.36,8.48,8.36,8.48,8745600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448586000,8.46,8.48,8.4,8.44,4853700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448845200,8.36,8.45,8.32,8.32,21507100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1448931600,8.35,8.45,8.32,8.45,13663000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449018000,8.45,8.51,8.39,8.41,4506000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449104400,8.38,8.42,8.33,8.36,10151100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449190800,8.37,8.4,8.36,8.37,5286600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449450000,8.41,8.44,8.35,8.41,4497200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449536400,8.41,8.45,8.37,8.41,4331900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449622800,8.4,8.42,8.39,8.4,4214900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449709200,8.38,8.42,8.33,8.41,9758400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1449795600,8.36,8.4,8.33,8.33,6593100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450054800,8.3,8.31,8.25,8.25,7952700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450141200,8.25,8.29,8.18,8.18,10685800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450227600,8.22,8.32,8.22,8.31,10250100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450314000,8.3,8.41,8.3,8.41,7100400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450400400,8.37,8.4,8.28,8.28,7861300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450659600,8.29,8.33,8.2,8.21,7370300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450746000,8.22,8.270001,8.21,8.25,5413800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450832400,8.28,8.32,8.24,8.3,5237800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1451264400,8.31,8.41,8.28,8.39,6616100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1451350800,8.4,8.45,8.39,8.44,9227000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1451437200,8.44,8.49,8.43,8.45,7476400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1451523600,8.44,8.49,8.37,8.4,4020700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1451869200,8.39,8.4,8.19,8.2,11269800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1451955600,8.2,8.36,8.2,8.33,7536100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452042000,8.33,8.35,8.31,8.33,6944000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452128400,8.26,8.37,8.26,8.3,10523300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452214800,8.29,8.4,8.270001,8.34,9033500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452474000,8.34,8.35,8.28,8.32,7889000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452560400,8.32,8.36,8.32,8.32,7335200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452646800,8.35,8.4,8.31,8.34,5330500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452733200,8.32,8.35,8.3,8.35,11434300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1452819600,8.33,8.35,8.32,8.32,7749400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453078800,8.31,8.32,8.19,8.29,7614200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453165200,8.29,8.35,8.22,8.33,3162400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453251600,8.3,8.33,8.22,8.28,9377400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453338000,8.24,8.31,8.18,8.18,8027900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453424400,8.22,8.32,8.22,8.31,6767500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453770000,8.34,8.35,8.29,8.29,8854900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453856400,8.29,8.35,8.29,8.34,7369000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1453942800,8.34,8.42,8.31,8.41,10290300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1454029200,8.42,8.6,8.41,8.58,28528100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1454374800,8.54,8.56,8.45,8.54,17336400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1454461200,8.45,8.48,8.36,8.44,7801000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1454547600,8.44,8.58,8.44,8.57,12893400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1454634000,8.58,8.59,8.51,8.54,5853300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455066000,8.48,8.6,8.46,8.59,6915500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455152400,8.58,8.59,8.49,8.54,7093300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455238800,8.45,8.54,8.45,8.51,7086600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455498000,8.51,8.59,8.51,8.55,5751800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455584400,8.55,8.57,8.51,8.55,8732900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455670800,8.57,8.6,8.55,8.56,8089800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455757200,8.56,8.72,8.56,8.64,8006900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1455843600,8.64,8.67,8.58,8.63,5833700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1456102800,8.65,8.65,8.6,8.63,8651500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1456189200,8.63,8.68,8.6,8.64,7502900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1456275600,8.63,8.66,8.6,8.63,8239100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1456362000,8.65,8.69,8.6,8.64,12975200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1456448400,8.65,8.7,8.43,8.53,20858700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1456707600,8.58,8.64,8.51,8.51,22956600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
