time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1481590800,0.9,0.91,0.895,0.905,1514600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.905,0.91,0.9,0.9,1082200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.9,0.92,0.9,0.91,5261300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.915,0.915,0.895,0.895,4754100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.895,0.9,0.895,0.9,1815600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.9,0.9,0.895,0.895,1082100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.895,0.9,0.89,0.9,1964400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.925,0.935,0.91,0.91,16459000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.915,0.915,0.905,0.91,1683200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.91,0.92,0.905,0.915,1467300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.925,0.925,0.91,0.915,2729900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.915,0.915,0.9,0.9,5260400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,0.905,0.905,0.9,0.9,841100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,0.905,0.91,0.905,0.91,1634800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,0.91,0.925,0.905,0.915,7574400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,0.92,0.925,0.91,0.92,4723200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,0.92,0.94,0.915,0.935,12887400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,0.935,0.94,0.92,0.93,4315700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,0.93,0.945,0.925,0.94,11764700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,0.94,1.01,0.94,1,68681800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.01,1.05,1,1.01,30901600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.01,1.07,1.01,1.05,46925200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.06,1.09,1.05,1.05,24308900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.05,1.12,1.05,1.12,38709400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.1,1.12,1.07,1.08,20854200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.08,1.08,1.06,1.06,9272800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.07,1.07,1.03,1.03,9614300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.04,1.07,1.04,1.07,13951900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.07,1.08,1.05,1.06,5334700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.06,1.07,1.05,1.06,3586600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.05,1.07,1.05,1.07,4476200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.07,1.11,1.05,1.09,10326000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.09,1.12,1.09,1.1,14661500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.11,1.13,1.1,1.11,6000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.11,1.12,1.1,1.11,5096000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.11,1.18,1.1,1.17,30121900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.17,1.19,1.16,1.18,15224300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.18,1.21,1.18,1.19,21326500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.19,1.2,1.16,1.17,8296500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.17,1.18,1.16,1.17,6747700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.17,1.18,1.14,1.16,14538700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.15,1.16,1.13,1.15,8374200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.16,1.18,1.14,1.16,16182300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.15,1.16,1.14,1.15,6730600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,1.15,1.17,1.14,1.15,11174900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,1.15,1.16,1.13,1.14,7577400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,1.14,1.18,1.14,1.15,16277000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,1.16,1.17,1.15,1.16,10318100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,1.16,1.17,1.14,1.17,10066800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,1.17,1.17,1.15,1.16,5093900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,1.16,1.16,1.1,1.13,14775100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,1.13,1.14,1.12,1.13,8293700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,1.13,1.16,1.13,1.14,10171100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,1.14,1.16,1.13,1.14,6382200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,1.14,1.17,1.13,1.16,12932100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,1.16,1.16,1.14,1.16,5600100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,1.16,1.21,1.15,1.19,37031700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,1.19,1.2,1.18,1.18,12005200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,1.19,1.19,1.16,1.16,5634000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,1.16,1.18,1.15,1.15,7220100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,1.16,1.19,1.15,1.17,11638600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,1.16,1.18,1.15,1.16,9536400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,1.16,1.19,1.16,1.18,8977900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,1.18,1.2,1.17,1.18,14748800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,1.19,1.25,1.19,1.24,32665400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,1.24,1.26,1.22,1.24,26539800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,1.23,1.25,1.22,1.24,14200300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,1.24,1.25,1.22,1.23,6228000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,1.24,1.24,1.21,1.23,5832500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,1.24,1.25,1.22,1.23,5972500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,1.23,1.26,1.22,1.26,9128700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,1.26,1.29,1.25,1.28,22315700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,1.29,1.3,1.27,1.3,12656700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,1.3,1.3,1.28,1.3,6968100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
