time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,7.61,7.61,7.5,7.6,320800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,7.5,7.66,7.45,7.45,79700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,7.45,7.58,7.45,7.58,269100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,7.58,7.65,7.51,7.58,84600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,7.58,7.66,7.52,7.66,160800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,7.67,7.73,7.66,7.73,40600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,7.72,7.75,7.68,7.73,140000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,7.57,7.83,7.57,7.8,47600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,7.81,7.81,7.55,7.56,90500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,7.59,7.74,7.56,7.64,67700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,7.6,7.6,7.43,7.43,110200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,7.44,7.49,7.3,7.3,177800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,7.28,7.3,7.01,7.2,1239400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,7.24,7.29,7.18,7.26,94400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,7.26,7.26,7.07,7.07,187600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,7.09,7.27,7.09,7.11,80800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,7.1,7.3,7.1,7.3,73200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,7.39,7.46,7.32,7.46,10800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,7.46,7.49,7.34,7.45,466400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,7.5,7.62,7.44,7.62,117300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,7.61,7.82,7.6,7.82,150000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,7.7,7.77,7.54,7.6,200800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,7.46,7.5,7.35,7.4,117900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,7.38,7.55,7.3,7.31,428200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,7.3,7.3,7.1,7.1,153800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,7.15,7.25,7.1,7.1,164800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,7.11,7.2,7.08,7.09,109900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,7.09,7.09,6.91,6.94,164200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
