time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478653200,1.14,1.14,1.105,1.125,1011800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,1.125,1.145,1.125,1.135,305800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,1.13,1.135,1.105,1.115,580200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.105,1.105,1.085,1.085,1912000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.09,1.105,1.085,1.09,751200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.09,1.11,1.09,1.105,117600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.1,1.11,1.095,1.1,287600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.1,1.125,1.1,1.1,92800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.115,1.14,1.115,1.13,264200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.135,1.17,1.135,1.165,992400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.175,1.195,1.175,1.175,1424400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.175,1.185,1.175,1.18,1623800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.185,1.185,1.16,1.17,429000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.19,1.215,1.19,1.19,2625200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.205,1.205,1.175,1.19,620200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.18,1.18,1.145,1.15,718600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.15,1.16,1.15,1.155,594600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.155,1.175,1.15,1.15,350800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.15,1.15,1.135,1.14,518400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.145,1.145,1.13,1.13,236400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.125,1.145,1.11,1.11,541600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.115,1.13,1.1,1.1,826400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.09,1.1,1.09,1.1,1543000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.1,1.125,1.1,1.125,293600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.125,1.125,1.12,1.12,375800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.115,1.12,1.11,1.115,395600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.11,1.115,1.105,1.11,336600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.11,1.13,1.105,1.11,300400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.115,1.125,1.11,1.115,1039000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.115,1.125,1.115,1.115,767800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.115,1.115,1.1,1.11,1451600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.1,1.12,1.095,1.1,911000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.095,1.105,1.09,1.09,169600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.095,1.095,1.08,1.085,984200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.085,1.085,1.07,1.075,865400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.07,1.075,1.065,1.075,673600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.075,1.11,1.07,1.11,249400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.115,1.135,1.115,1.125,666600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.135,1.15,1.115,1.14,850600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.15,1.175,1.14,1.175,646600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.175,1.175,1.165,1.165,325600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
