time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1529456400,0.926666,1.086666,0.926666,1.026666,110524910,750000750,169778000,38521000,9831000,33435000.000000004,131257000,NaN
1529542800,1.033332,1.073332,1.019999,1.039999,12476562,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1529629200,1.046666,1.046666,1.026666,1.033332,8193308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1529888400,1.033332,1.153332,1.013332,1.113332,21772371,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1529974800,1.113332,1.146666,1.099999,1.113332,8976008,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1530061200,1.119999,1.239999,1.119999,1.213332,18990168,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1530147600,1.219999,1.286665,1.219999,1.233332,13843213,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1530234000,1.233332,1.286665,1.213332,1.266665,9096009,750000750,386468000,66778000.00000001,10217000,54335000,319690000,NaN
1530493200,1.259999,1.279999,1.226665,1.253332,4602454,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1530579600,1.253332,1.306665,1.246665,1.253332,5878055,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1530666000,1.253332,1.259999,1.219999,1.253332,3808503,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1530752400,1.253332,1.253332,1.226665,1.233332,2115452,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1530838800,1.239999,1.239999,1.173332,1.179999,6643806,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531098000,1.173332,1.173332,1.099999,1.133332,9074709,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531184400,1.139999,1.206665,1.139999,1.199999,11005961,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531270800,1.199999,1.199999,1.146666,1.166666,5997905,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531357200,1.159999,1.193332,1.159999,1.166666,2953502,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531443600,1.166666,1.193332,1.166666,1.186665,1678351,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531702800,1.179999,1.219999,1.179999,1.206665,6101556,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531789200,1.206665,1.239999,1.206665,1.233332,6078756,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531875600,1.226665,1.319999,1.226665,1.299999,9808509,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1531962000,1.299999,1.333332,1.299999,1.299999,6635856,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532048400,1.299999,1.326665,1.279999,1.299999,3554403,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532307600,1.313332,1.393332,1.299999,1.386665,9191109,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532394000,1.386665,1.439999,1.366665,1.439999,4783354,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532480400,1.439999,1.479999,1.406665,1.426665,5053355,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532566800,1.433332,1.453332,1.419999,1.419999,1613251,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532653200,1.419999,1.446665,1.393332,1.446665,2159852,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532912400,1.439999,1.439999,1.399999,1.406665,1615651,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532998800,1.406665,1.419999,1.386665,1.399999,1934251,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533085200,1.399999,1.426665,1.379999,1.379999,1420801,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533171600,1.386665,1.413332,1.386665,1.393332,576000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533258000,1.399999,1.426665,1.386665,1.386665,2236502,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533517200,1.399999,1.419999,1.393332,1.399999,2196002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533603600,1.399999,1.413332,1.393332,1.406665,1978351,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533690000,1.386665,1.459999,1.386665,1.459999,3243903,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533776400,1.459999,1.553332,1.446665,1.553332,6856656,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533862800,1.553332,1.566665,1.526665,1.546665,3461703,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1534122000,1.533332,1.553332,1.519998,1.539998,1698301,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1534208400,1.539998,1.619998,1.533332,1.586665,4461004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1534294800,1.606665,1.626665,1.573332,1.606665,3980703,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1534381200,1.606665,1.619998,1.573332,1.579998,4233004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
